Name,100H-2nd,Current Measurement,Current Measurement,100H.conttrial
Date,1/1/1980,1/1/1980,1/1/1980,1/1/1980
Time,00:18am,00:22am,00:25am,00:25am
Irradiance total,1.43E-03,1.87E-03,2.03E-03,2.03E-03
Irradiance UVA,9.66E-04,1.24E-03,1.33E-03,1.33E-03
Irradiance UVB,1.76E-04,3.61E-04,3.22E-04,3.22E-04
Irradiance UVC,3.16E-04,3.16E-04,3.84E-04,3.84E-04
Irradiance @253.7nm,5.52E-06,5.52E-06,5.52E-06,5.52E-06
Irradiance @365nm,6.17E-06,5.83E-06,8.08E-06,8.08E-06
Irradiance WL range,1.43E-03,1.87E-03,2.03E-03,2.03E-03
Spectral Centroid,320.3,322.2,325.1,325.1
,,,,
wavelength [nm],Irradiance[W/(m²*nm)],Irradiance[W/(m²*nm)],Irradiance[W/(m²*nm)],Irradiance[W/(m²*nm)]
,,,,
200,3.16305E-05,3.16305E-05,3.16305E-05,3.16305E-05
201,2.64654E-05,2.64654E-05,2.64654E-05,2.64654E-05
202,2.27504E-05,2.27504E-05,2.27504E-05,2.27504E-05
203,1.995E-05,1.995E-05,1.995E-05,1.995E-05
204,1.77634E-05,1.77634E-05,1.77634E-05,1.77634E-05
205,1.60088E-05,1.60088E-05,1.60088E-05,1.60088E-05
206,1.44979E-05,1.44979E-05,1.44979E-05,1.44979E-05
207,1.32476E-05,1.32476E-05,1.32476E-05,1.32476E-05
208,1.21959E-05,1.21959E-05,1.21959E-05,1.21959E-05
209,1.12988E-05,1.12988E-05,1.12988E-05,1.12988E-05
210,1.05247E-05,1.05247E-05,1.05247E-05,1.05247E-05
211,9.36856E-06,9.36856E-06,9.36856E-06,9.36856E-06
212,8.4413E-06,8.4413E-06,8.44131E-06,8.44131E-06
213,7.68106E-06,7.68106E-06,7.68104E-06,7.68104E-06
214,7.04644E-06,7.04644E-06,7.04641E-06,7.04641E-06
215,6.50869E-06,6.50869E-06,6.50875E-06,6.50875E-06
216,5.63591E-06,5.63591E-06,5.636E-06,5.636E-06
217,4.96952E-06,4.96952E-06,4.96932E-06,4.96932E-06
218,4.44406E-06,4.44406E-06,4.44382E-06,4.44382E-06
219,4.01909E-06,4.01909E-06,4.01978E-06,4.01978E-06
220,3.66831E-06,3.66831E-06,3.66892E-06,3.66892E-06
221,3.28927E-06,3.28927E-06,3.2869E-06,3.2869E-06
222,2.98123E-06,2.98123E-06,2.97979E-06,2.97979E-06
223,2.72594E-06,2.72594E-06,2.73397E-06,2.73397E-06
224,2.51093E-06,2.51093E-06,2.51381E-06,2.51381E-06
225,2.32735E-06,2.32735E-06,2.29979E-06,2.29979E-06
226,2.23716E-06,2.23716E-06,2.23413E-06,2.23413E-06
227,2.1537E-06,2.1537E-06,2.25441E-06,2.25441E-06
228,2.07624E-06,2.07624E-06,2.06033E-06,2.06033E-06
229,2.00415E-06,2.00415E-06,1.64033E-06,1.64033E-06
230,1.93691E-06,1.93691E-06,2.09597E-06,2.09597E-06
231,1.84386E-06,1.84386E-06,3.12101E-06,3.12101E-06
232,1.75934E-06,1.75934E-06,8.37704E-07,8.37704E-07
233,1.68224E-06,1.68224E-06,3.66478E-06,3.66478E-06
234,1.6116E-06,1.6116E-06,6.25445E-06,6.25445E-06
235,1.54666E-06,1.54666E-06,2.53128E-05,2.53128E-05
236,1.40268E-06,1.40268E-06,2.60444E-05,2.60444E-05
237,1.28323E-06,1.28323E-06,8.87418E-06,8.87418E-06
238,1.18252E-06,1.18252E-06,4.08887E-06,4.08887E-06
239,1.09647E-06,1.09647E-06,2.8042E-06,2.8042E-06
240,1.02209E-06,1.02209E-06,1.6938E-06,1.6938E-06
241,9.14947E-07,9.14947E-07,1.15919E-06,1.15919E-06
242,8.28132E-07,8.28132E-07,6.76383E-07,6.76383E-07
243,7.56365E-07,7.56365E-07,7.15132E-07,7.15132E-07
244,6.96044E-07,6.96044E-07,7.30791E-07,7.30791E-07
245,6.44634E-07,6.44634E-07,6.51198E-07,6.51198E-07
246,6.06854E-07,6.06854E-07,5.98765E-07,5.98765E-07
247,5.73256E-07,5.73256E-07,5.72336E-07,5.72336E-07
248,5.43184E-07,5.43184E-07,5.45082E-07,5.45082E-07
249,5.16109E-07,5.16109E-07,5.16189E-07,5.16189E-07
250,4.91606E-07,4.91606E-07,4.91163E-07,4.91163E-07
251,4.92484E-07,4.92484E-07,4.92496E-07,4.92496E-07
252,4.93366E-07,4.93366E-07,4.93478E-07,4.93478E-07
253,4.94251E-07,4.94251E-07,4.9424E-07,4.9424E-07
254,4.95139E-07,4.95139E-07,4.95111E-07,4.95111E-07
255,4.9603E-07,4.9603E-07,4.96034E-07,4.96034E-07
256,5.01216E-07,5.01216E-07,5.01223E-07,5.01223E-07
257,5.06512E-07,5.06512E-07,5.0651E-07,5.0651E-07
258,5.11921E-07,5.11921E-07,5.11919E-07,5.11919E-07
259,5.17447E-07,5.17447E-07,5.17447E-07,5.17447E-07
260,5.23093E-07,5.23093E-07,5.23093E-07,5.23093E-07
261,5.15692E-07,5.15692E-07,5.15692E-07,5.15692E-07
262,5.08498E-07,5.08498E-07,5.08498E-07,5.08498E-07
263,5.01502E-07,5.01502E-07,5.01502E-07,5.01502E-07
264,4.94696E-07,4.94696E-07,4.94696E-07,4.94696E-07
265,4.88071E-07,4.88071E-07,4.88071E-07,4.88071E-07
266,4.65259E-07,4.65259E-07,4.65259E-07,4.65259E-07
267,4.44483E-07,4.44483E-07,4.44483E-07,4.44483E-07
268,4.25484E-07,4.25484E-07,4.25484E-07,4.25484E-07
269,4.08042E-07,4.08042E-07,4.08042E-07,4.08042E-07
270,3.91974E-07,3.91974E-07,3.91974E-07,3.91974E-07
271,3.72215E-07,3.72215E-07,3.72215E-07,3.72215E-07
272,3.54353E-07,3.54353E-07,3.54353E-07,3.54353E-07
273,3.38126E-07,3.38126E-07,3.38126E-07,3.38126E-07
274,3.23321E-07,3.23321E-07,3.23321E-07,3.23321E-07
275,3.09757E-07,3.09757E-07,3.09757E-07,3.09757E-07
276,2.92562E-07,2.92562E-07,2.92562E-07,2.92562E-07
277,2.77175E-07,2.77175E-07,2.77175E-07,2.77175E-07
278,2.63326E-07,2.63326E-07,2.63326E-07,2.63326E-07
279,2.50794E-07,2.50795E-07,2.50795E-07,2.50795E-07
280,2.39402E-07,2.39402E-07,2.39402E-07,2.39402E-07
281,2.32386E-07,2.32386E-07,2.32386E-07,2.32386E-07
282,2.25769E-07,2.2577E-07,2.2577E-07,2.2577E-07
283,2.19519E-07,2.1952E-07,2.1952E-07,2.1952E-07
284,2.13607E-07,2.13605E-07,2.13605E-07,2.13605E-07
285,2.08005E-07,2.08E-07,2.08001E-07,2.08001E-07
286,2.07812E-07,2.07823E-07,2.0782E-07,2.0782E-07
287,2.07623E-07,2.0764E-07,2.07636E-07,2.07636E-07
288,2.07467E-07,2.0742E-07,2.0743E-07,2.0743E-07
289,2.07286E-07,2.0723E-07,2.07242E-07,2.07242E-07
290,2.06982E-07,2.07182E-07,2.07139E-07,2.07139E-07
291,2.04617E-07,2.04785E-07,2.04749E-07,2.04749E-07
292,2.02749E-07,2.01937E-07,2.02112E-07,2.02112E-07
293,2.00304E-07,1.9986E-07,1.99956E-07,1.99956E-07
294,1.9637E-07,1.99596E-07,1.98899E-07,1.98899E-07
295,1.95292E-07,1.96168E-07,1.95979E-07,1.95979E-07
296,1.96593E-07,1.84182E-07,1.8686E-07,1.8686E-07
297,1.86149E-07,1.86149E-07,1.86149E-07,1.86149E-07
298,1.60104E-07,2.06448E-07,1.96445E-07,1.96445E-07
299,1.83438E-07,1.70675E-07,1.7343E-07,1.7343E-07
300,2.52963E-07,8.24506E-08,1.19255E-07,1.19255E-07
301,1.23859E-07,2.19189E-07,1.98612E-07,1.98612E-07
302,2.67984E-07,4.883E-07,3.56925E-07,3.56925E-07
303,4.04047E-07,2.37321E-07,1.73471E-07,1.73471E-07
304,1.15211E-06,9.17153E-07,6.17791E-07,6.17791E-07
305,5.60798E-07,1.56097E-06,1.03857E-06,1.03857E-06
306,3.2764E-06,7.01058E-06,7.36598E-06,7.36598E-06
307,5.89365E-06,8.59997E-06,2.1361E-05,2.1361E-05
308,2.21483E-05,8.21479E-06,3.72526E-05,3.72526E-05
309,2.2344E-05,1.78917E-05,3.97093E-05,3.97093E-05
310,6.33706E-06,3.58941E-05,2.85314E-05,2.85314E-05
311,4.44775E-06,4.73389E-05,1.8023E-05,1.8023E-05
312,2.65013E-06,5.1622E-05,1.97576E-05,1.97576E-05
313,2.58207E-05,5.75652E-05,3.96528E-05,3.96528E-05
314,4.45885E-05,6.22625E-05,5.8049E-05,5.8049E-05
315,3.12984E-05,5.67002E-05,4.56637E-05,4.56637E-05
316,3.59872E-06,4.04533E-05,1.79647E-05,1.79647E-05
317,1.75598E-06,1.85067E-05,6.46206E-06,6.46206E-06
318,1.58573E-06,1.1205E-06,6.79364E-06,6.79364E-06
319,1.42331E-06,5.82612E-07,4.20098E-06,4.20098E-06
320,1.26038E-07,6.89157E-08,1.50141E-07,1.50141E-07
321,1.24117E-07,8.28948E-07,1.44129E-07,1.44129E-07
322,1.22246E-07,6.45701E-08,1.38272E-07,1.38272E-07
323,1.66154E-07,1.0193E-07,1.30911E-07,1.30911E-07
324,1.02064E-07,1.38343E-07,1.62883E-07,1.62883E-07
325,1.46996E-07,2.47277E-07,6.58321E-07,6.58321E-07
326,5.16734E-08,7.89775E-09,3.28313E-07,3.28313E-07
327,2.14771E-07,2.78746E-07,1.5398E-06,1.5398E-06
328,3.77032E-07,5.48208E-07,2.74507E-06,2.74507E-06
329,9.71717E-07,1.50107E-06,1.27001E-05,1.27001E-05
330,4.84621E-07,7.48623E-07,1.10941E-05,1.10941E-05
331,3.66972E-06,5.75952E-06,9.9339E-08,9.9339E-08
332,6.75876E-06,1.06193E-05,7.24998E-06,7.24998E-06
333,3.17101E-05,4.61957E-05,3.78883E-05,3.78883E-05
334,6.72991E-05,8.74945E-05,7.38793E-05,7.38793E-05
335,9.53464E-05,0.000115196,9.80297E-05,9.80297E-05
336,9.06124E-05,0.00011004,9.71546E-05,9.71546E-05
337,5.91459E-05,7.92168E-05,7.37057E-05,7.37057E-05
338,2.83366E-05,4.82666E-05,4.23546E-05,4.23546E-05
339,8.77245E-06,2.54391E-05,1.55716E-05,1.55716E-05
340,9.10416E-07,9.53059E-06,2.65408E-06,2.65408E-06
341,5.07351E-08,6.38072E-07,1.22649E-07,1.22649E-07
342,1.98183E-07,3.4844E-07,1.83646E-08,1.83646E-08
343,9.58506E-08,5.34445E-08,9.08835E-08,9.08835E-08
344,7.00556E-08,4.73295E-07,1.12273E-07,1.12273E-07
345,9.5161E-08,7.62201E-08,9.40237E-08,9.40237E-08
346,8.50445E-08,1.06118E-07,9.31352E-08,9.31352E-08
347,1.01407E-07,1.35961E-07,9.34803E-08,9.34803E-08
348,1.56241E-07,3.76965E-07,8.25307E-08,8.25307E-08
349,4.61395E-08,1.88308E-07,1.04148E-07,1.04148E-07
350,2.17036E-07,6.96114E-07,1.4302E-07,1.4302E-07
351,3.88439E-07,1.20554E-06,7.16855E-08,7.16855E-08
352,3.85468E-06,7.72019E-06,2.50845E-06,2.50845E-06
353,1.46438E-05,1.69023E-05,1.46972E-05,1.46972E-05
354,3.28392E-05,2.79639E-05,3.84989E-05,3.84989E-05
355,5.20904E-05,4.17031E-05,6.74214E-05,6.74214E-05
356,6.0734E-05,5.28222E-05,8.70059E-05,8.70059E-05
357,4.38254E-05,5.02843E-05,7.6993E-05,7.6993E-05
358,1.18973E-05,3.44637E-05,4.356E-05,4.356E-05
359,5.9353E-06,1.59939E-05,1.53385E-05,1.53385E-05
360,3.65116E-06,2.41695E-06,1.90021E-06,1.90021E-06
361,1.36127E-06,1.19181E-06,9.37003E-07,9.37003E-07
362,3.43816E-07,8.99808E-07,7.39021E-07,7.39021E-07
363,1.95084E-07,6.15641E-07,5.46352E-07,5.46352E-07
364,5.02895E-08,1.50156E-07,1.59883E-07,1.59883E-07
365,1.71393E-07,1.15219E-07,1.02712E-07,1.02712E-07
366,8.92046E-08,8.0507E-08,4.66232E-08,4.66232E-08
367,6.4606E-08,1.10804E-07,9.50909E-07,9.50909E-07
368,8.27432E-08,8.20902E-08,4.65814E-07,4.65814E-07
369,8.06244E-08,9.64063E-08,9.04447E-07,9.04447E-07
370,8.0633E-08,7.04823E-08,1.32599E-06,1.32599E-06
371,9.50174E-08,1.03846E-07,1.63613E-05,1.63613E-05
372,6.32075E-08,1.35871E-07,2.34075E-05,2.34075E-05
373,7.03409E-09,3.89804E-07,1.28006E-05,1.28006E-05
374,1.43053E-07,1.91141E-07,2.34195E-07,2.34195E-07
375,5.03137E-07,9.34496E-07,1.7121E-06,1.7121E-06
376,7.77171E-07,1.63941E-06,3.11453E-06,3.11453E-06
377,1.01865E-06,7.05413E-06,1.39306E-05,1.39306E-05
