Name,Current Measurement,Current Measurement,Current Measurement,1H.9A-CONT
Date,1/1/1980,1/1/1980,1/1/1980,1/1/1980
Time,00:32am,00:34am,00:36am,00:36am
Irradiance total,2.08E-03,4.63E-03,2.08E-03,2.08E-03
Irradiance UVA,1.32E-03,1.41E-03,1.21E-03,1.21E-03
Irradiance UVB,2.50E-04,3.97E-04,2.98E-04,2.98E-04
Irradiance UVC,4.85E-04,2.35E-03,4.99E-04,4.99E-04
Irradiance @253.7nm,1.04E-04,5.54E-06,5.52E-06,5.52E-06
Irradiance @365nm,1.36E-05,2.60E-06,3.50E-06,3.50E-06
Irradiance WL range,2.08E-03,4.63E-03,2.08E-03,2.08E-03
Spectral Centroid,322.2,292.2,321.9,321.9
,,,,
wavelength [nm],Irradiance[W/(m²*nm)],Irradiance[W/(m²*nm)],Irradiance[W/(m²*nm)],Irradiance[W/(m²*nm)]
,,,,
200,3.16305E-05,3.05844E-05,3.16306E-05,3.16306E-05
201,2.64654E-05,2.6125E-05,2.64655E-05,2.64655E-05
202,2.27504E-05,2.63845E-05,2.27503E-05,2.27503E-05
203,1.995E-05,2.01449E-05,1.995E-05,1.995E-05
204,1.77634E-05,6.47194E-06,1.77639E-05,1.77639E-05
205,1.60088E-05,1.82404E-05,1.60088E-05,1.60088E-05
206,1.44979E-05,5.01799E-05,1.44964E-05,1.44964E-05
207,1.32476E-05,2.29262E-05,1.32483E-05,1.32483E-05
208,1.21959E-05,6.40421E-05,1.22006E-05,1.22006E-05
209,1.12988E-05,9.91095E-05,1.12952E-05,1.12952E-05
210,1.05247E-05,0.000568808,1.05093E-05,1.05093E-05
211,9.36856E-06,0.000623984,9.38435E-06,9.38435E-06
212,8.4413E-06,0.000221899,8.48649E-06,8.48649E-06
213,7.68106E-06,0.000100957,7.61839E-06,7.61839E-06
214,7.04644E-06,7.55932E-05,6.91175E-06,6.91175E-06
215,6.50869E-06,5.41008E-05,6.75246E-06,6.75246E-06
216,5.63591E-06,0.000108223,6.00936E-06,6.00936E-06
217,4.96952E-06,8.15068E-05,4.1474E-06,4.1474E-06
218,4.44406E-06,1.96627E-05,3.46254E-06,3.46254E-06
219,4.01909E-06,9.56674E-06,6.86944E-06,6.86944E-06
220,3.66831E-06,1.23313E-06,6.21969E-06,6.21969E-06
221,3.28927E-06,5.41833E-06,2.78851E-06,2.78851E-06
222,2.98123E-06,3.34215E-06,2.40273E-05,2.40273E-05
223,2.72594E-06,2.25632E-06,4.16286E-05,4.16286E-05
224,2.51093E-06,2.46541E-06,7.47622E-05,7.47622E-05
225,2.32735E-06,2.43288E-06,4.62377E-05,4.62377E-05
226,2.23716E-06,2.24024E-06,3.18948E-06,3.18948E-06
227,2.15371E-06,2.12585E-06,2.77322E-06,2.77322E-06
228,2.07623E-06,2.07768E-06,2.3869E-06,2.3869E-06
229,2.00412E-06,2.02068E-06,3.86578E-06,3.86578E-06
230,1.93692E-06,1.93163E-06,1.74223E-06,1.74223E-06
231,1.84398E-06,1.80503E-06,1.41905E-06,1.41905E-06
232,1.75926E-06,1.78663E-06,1.83064E-06,1.83064E-06
233,1.68181E-06,1.81073E-06,1.77654E-06,1.77654E-06
234,1.61204E-06,1.47844E-06,1.58929E-06,1.58929E-06
235,1.54808E-06,1.11373E-06,1.52602E-06,1.52602E-06
236,1.40082E-06,1.97089E-06,1.40878E-06,1.40878E-06
237,1.27899E-06,2.57206E-06,1.2872E-06,1.2872E-06
238,1.18981E-06,1.1851E-06,1.18099E-06,1.18099E-06
239,1.1091E-06,6.02614E-06,1.09571E-06,1.09571E-06
240,9.94072E-07,1.02104E-05,1.02247E-06,1.02247E-06
241,8.79524E-07,2.54281E-05,9.15085E-07,9.15085E-07
242,9.25987E-07,2.02768E-05,8.28046E-07,8.28046E-07
243,8.49797E-07,4.10834E-06,7.56341E-07,7.56341E-07
244,3.50455E-07,1.95721E-06,6.96064E-07,6.96064E-07
245,4.10952E-07,1.23839E-07,6.44638E-07,6.44638E-07
246,1.84579E-06,1.24862E-06,6.06849E-07,6.06849E-07
247,1.09173E-06,6.46302E-07,5.73256E-07,5.73256E-07
248,5.17231E-07,3.92568E-07,5.43185E-07,5.43185E-07
249,1.10874E-05,5.09815E-07,5.16109E-07,5.16109E-07
250,2.06538E-05,5.26735E-07,4.91605E-07,4.91605E-07
251,3.44533E-05,4.91525E-07,4.92484E-07,4.92484E-07
252,1.92329E-05,4.84434E-07,4.93366E-07,4.93366E-07
253,9.63368E-06,4.95102E-07,4.94251E-07,4.94251E-07
254,5.38348E-06,4.9737E-07,4.95139E-07,4.95139E-07
255,1.11799E-06,4.95667E-07,4.9603E-07,4.9603E-07
256,1.43073E-06,5.00664E-07,5.01216E-07,5.01216E-07
257,3.04476E-07,5.06642E-07,5.06512E-07,5.06512E-07
258,3.58236E-07,5.12056E-07,5.11921E-07,5.11921E-07
259,4.81168E-07,5.17405E-07,5.17447E-07,5.17447E-07
260,2.89284E-07,5.23061E-07,5.23093E-07,5.23093E-07
261,1.00143E-06,5.15705E-07,5.15692E-07,5.15692E-07
262,1.48296E-06,5.08505E-07,5.08498E-07,5.08498E-07
263,7.31277E-07,5.01498E-07,5.01502E-07,5.01502E-07
264,5.79144E-06,4.94694E-07,4.94695E-07,4.94695E-07
265,1.07161E-05,4.88072E-07,4.88073E-07,4.88073E-07
266,2.64612E-05,4.65259E-07,4.6526E-07,4.6526E-07
267,2.07066E-05,4.44483E-07,4.44478E-07,4.44478E-07
268,3.29618E-06,4.25484E-07,4.2548E-07,4.2548E-07
269,1.58053E-06,4.08042E-07,4.08061E-07,4.08061E-07
270,1.37009E-06,3.91974E-07,3.91983E-07,3.91983E-07
271,1.16029E-06,3.72215E-07,3.72146E-07,3.72146E-07
272,3.98212E-07,3.54353E-07,3.54338E-07,3.54338E-07
273,1.53018E-07,3.38126E-07,3.38374E-07,3.38374E-07
274,3.25747E-07,3.23321E-07,3.23308E-07,3.23308E-07
275,3.52862E-07,3.09757E-07,3.08869E-07,3.08869E-07
276,2.89223E-07,2.92562E-07,2.92845E-07,2.92845E-07
277,2.6754E-07,2.77175E-07,2.80228E-07,2.80228E-07
278,2.64692E-07,2.63326E-07,2.61483E-07,2.61483E-07
279,2.52932E-07,2.50795E-07,2.40369E-07,2.40369E-07
280,2.38956E-07,2.39402E-07,2.48881E-07,2.48881E-07
281,2.3191E-07,2.32386E-07,2.68155E-07,2.68155E-07
282,2.25905E-07,2.2577E-07,1.80593E-07,1.80593E-07
283,2.19624E-07,2.1952E-07,9.71072E-08,9.71072E-08
284,2.13568E-07,2.13604E-07,4.15534E-07,4.15534E-07
285,2.07983E-07,2.08E-07,6.17459E-07,6.17459E-07
286,2.07822E-07,2.07824E-07,3.08453E-07,3.08453E-07
287,2.07627E-07,2.07642E-07,2.36621E-06,2.36621E-06
288,2.07468E-07,2.07415E-07,4.4203E-06,4.4203E-06
289,2.07289E-07,2.07224E-07,1.17234E-05,1.17234E-05
290,2.06968E-07,2.07203E-07,9.75922E-06,9.75922E-06
