Name,Current Measurement,Current Measurement,Current Measurement,Current Measurement
Date,1/1/1980,1/1/1980,1/1/1980,1/1/1980
Time,00:44am,00:46am,00:48am,00:50am
Irradiance total,1.05E-02,6.12E-03,5.80E-03,9.54E-03
Irradiance UVA,4.68E-03,4.10E-03,3.34E-03,3.07E-03
Irradiance UVB,9.17E-04,7.59E-04,8.44E-04,9.49E-04
Irradiance UVC,4.97E-03,1.26E-03,1.40E-03,5.34E-03
Irradiance @253.7nm,6.10E-06,5.52E-06,7.87E-06,7.76E-05
Irradiance @365nm,1.07E-04,8.11E-05,7.68E-05,1.03E-04
Irradiance WL range,1.05E-02,6.12E-03,5.80E-03,9.54E-03
Spectral Centroid,278.2,320,321.4,268.7
,,,,
wavelength [nm],Irradiance[W/(m²*nm)],Irradiance[W/(m²*nm)],Irradiance[W/(m²*nm)],Irradiance[W/(m²*nm)]
,,,,
200,0.001302779,4.03062E-05,0,0.002182269
201,0.002106126,2.88969E-05,1.7131E-05,0.000140007
202,0.001170521,2.3038E-05,4.60014E-05,7.10264E-05
203,3.19939E-05,1.86216E-05,2.02692E-05,1.90282E-05
204,2.78676E-05,0.00011602,1.30692E-05,3.56344E-05
205,2.45564E-05,0.000159787,1.62447E-05,4.896E-05
206,5.05826E-05,8.41479E-05,1.56098E-05,0.000769949
207,9.24797E-06,6.55204E-06,1.30682E-05,0.001048391
208,4.69394E-06,1.11725E-05,1.14918E-05,0.000468627
209,1.2615E-05,1.51133E-05,1.17169E-05,0.000217079
210,1.20936E-05,2.03325E-05,1.21954E-05,0.000117132
211,9.00322E-06,1.29462E-06,7.68916E-06,2.85371E-05
212,8.14302E-06,2.1912E-05,3.65432E-06,2.40911E-05
213,7.77395E-06,3.88157E-05,1.43114E-05,2.80707E-06
214,7.10394E-06,0.000122237,2.12926E-05,4.02996E-06
215,6.48544E-06,0.000115733,9.83382E-06,7.72832E-06
216,5.62563E-06,3.18709E-05,6.04262E-05,6.17516E-06
217,4.97458E-06,1.42883E-05,9.90546E-05,4.70401E-06
218,4.44579E-06,4.23974E-07,0.00024824,4.35301E-06
219,4.01796E-06,6.20521E-06,0.000193963,4.07867E-06
220,3.66802E-06,3.85537E-06,3.46825E-05,3.68344E-06
221,3.28952E-06,4.6422E-06,1.55494E-05,3.27604E-06
222,2.98127E-06,4.07548E-06,1.17361E-05,2.97899E-06
223,2.72589E-06,1.93608E-06,8.57575E-06,2.72886E-06
224,2.51092E-06,1.34175E-07,3.07754E-06,2.51121E-06
225,2.32736E-06,2.95243E-05,1.01753E-06,2.3267E-06
226,2.23716E-06,4.50366E-05,2.19934E-06,2.23714E-06
227,2.15373E-06,1.57798E-05,2.48246E-06,2.15385E-06
228,2.07623E-06,3.01655E-06,2.06113E-06,2.07623E-06
229,2.00402E-06,4.90662E-05,1.86393E-06,2.00412E-06
230,1.93697E-06,7.71983E-05,1.97398E-06,1.93691E-06
231,1.84433E-06,3.74044E-05,2.09697E-06,1.84387E-06
232,1.759E-06,1.7845E-05,1.5859E-06,1.75934E-06
233,1.68062E-06,9.91491E-06,8.70167E-07,1.68223E-06
234,1.61328E-06,2.6508E-06,2.45173E-06,1.61161E-06
235,1.55212E-06,1.16937E-06,4.27708E-06,1.54669E-06
236,1.39552E-06,3.5127E-06,1.93946E-06,1.40265E-06
237,1.26698E-06,1.08309E-05,9.54756E-06,1.28314E-06
238,1.21048E-06,1.07765E-05,1.59615E-05,1.18266E-06
239,1.14489E-06,3.68174E-06,4.89233E-05,1.09671E-06
240,9.14621E-07,1.9803E-06,4.37231E-05,1.02155E-06
241,7.79091E-07,4.73194E-07,1.00312E-05,9.14263E-07
242,1.20343E-06,1.1026E-06,4.5397E-06,8.30021E-07
243,1.1147E-06,8.30942E-07,3.12936E-06,7.58168E-07
244,5.129E-07,6.33198E-07,1.94397E-06,6.89374E-07
245,3.505E-06,6.32762E-07,8.80304E-07,6.40124E-07
246,6.15198E-06,6.21485E-07,3.16912E-07,6.30767E-07
247,1.13561E-05,5.74922E-07,5.40443E-07,5.83264E-07
248,7.36583E-06,5.39747E-07,6.09153E-07,4.56849E-07
249,7.30649E-07,5.15965E-07,5.18605E-07,5.0235E-07
250,6.10084E-07,4.92419E-07,4.83665E-07,8.01206E-07
251,5.25146E-07,4.92461E-07,4.9205E-07,4.58726E-07
252,7.97416E-07,4.93112E-07,4.66279E-07,7.16998E-07
253,4.65317E-07,4.9429E-07,5.06185E-07,9.76195E-07
254,4.19613E-07,4.95383E-07,6.13744E-07,7.9586E-06
255,5.08081E-07,4.95887E-07,4.12856E-07,1.64151E-05
256,5.18255E-07,5.00469E-07,4.61211E-08,2.15513E-05
257,5.03893E-07,5.07271E-07,9.74639E-07,1.81129E-05
258,5.13921E-07,5.14693E-07,2.22691E-06,6.71572E-06
259,5.09739E-07,5.13604E-07,1.12547E-06,3.39411E-06
260,4.99906E-07,5.12891E-07,6.70784E-06,2.23648E-06
261,5.57873E-07,5.33595E-07,1.21042E-05,1.02708E-06
262,5.91102E-07,5.43305E-07,3.91413E-05,7.95446E-07
263,3.16057E-07,4.23539E-07,2.75127E-05,3.57918E-07
264,2.21553E-07,3.79916E-07,2.78146E-05,4.33815E-07
265,1.27072E-06,8.16904E-07,2.81084E-05,5.27233E-07
266,1.29491E-06,8.13833E-07,8.21844E-05,4.77105E-07
267,6.18546E-07,3.88746E-07,6.66336E-05,4.34721E-07
268,7.40388E-06,3.29584E-06,9.89297E-06,4.23413E-07
269,1.36329E-05,5.96459E-06,4.74372E-06,4.10462E-07
270,2.70994E-05,1.1616E-05,3.84357E-06,3.92297E-07
271,1.7618E-05,7.62685E-06,2.97243E-06,3.71569E-07
272,1.06975E-06,6.56375E-07,4.99066E-07,3.54306E-07
273,7.00113E-07,4.91536E-07,4.11357E-07,3.38513E-07
274,3.62847E-07,3.41133E-07,3.31329E-07,3.23306E-07
275,1.01236E-06,6.87876E-07,4.52217E-07,3.08824E-07
276,2.38028E-07,2.43182E-07,2.81471E-07,2.92852E-07
277,1.18548E-07,3.49386E-07,2.44566E-07,2.80282E-07
278,2.86601E-07,4.44977E-07,2.68329E-07,2.61453E-07
279,2.91396E-07,1.24008E-06,2.60649E-07,2.40206E-07
280,2.26878E-07,5.91876E-07,2.35383E-07,2.49027E-07
281,2.04795E-07,2.6438E-06,2.21205E-07,2.68706E-07
282,2.5304E-07,4.57888E-06,2.38356E-07,1.79897E-07
283,2.89138E-07,1.91414E-05,2.5276E-07,9.52205E-08
284,1.00965E-07,1.8082E-05,1.59219E-07,4.18646E-07
285,3.99284E-07,3.36084E-06,9.79062E-08,6.23769E-07
286,6.99626E-07,3.54423E-06,4.46008E-07,3.11605E-07
287,9.82077E-07,1.77611E-05,5.82765E-07,2.39753E-06
288,4.906E-07,1.79236E-05,2.91122E-07,4.47973E-06
289,5.41165E-06,3.98924E-06,2.88597E-06,1.17935E-05
290,1.03239E-05,1.99284E-06,5.47619E-06,9.50758E-06
291,2.39402E-05,1.50206E-06,1.73104E-05,1.48475E-06
292,1.69184E-05,1.02244E-06,2.86915E-05,1.68946E-06
293,1.546E-06,3.36978E-07,3.10916E-05,1.88956E-06
294,2.23192E-06,2.39488E-07,1.77714E-05,6.59808E-07
295,1.62613E-05,1.44139E-07,1.10783E-06,3.20307E-06
296,3.01152E-05,9.52246E-07,6.35471E-07,5.60967E-06
297,3.16453E-05,1.86149E-06,1.86168E-07,1.1169E-05
298,1.55509E-05,2.12333E-06,2.9612E-06,9.75114E-06
299,7.59452E-06,1.03696E-06,3.52218E-06,4.95388E-06
300,3.97751E-06,1.69271E-06,2.1695E-06,1.40879E-06
301,5.17386E-07,2.30176E-06,1.05261E-06,1.25454E-07
302,6.35202E-07,1.93789E-05,1.39334E-06,4.83589E-07
303,1.94756E-07,2.44669E-05,1.715E-06,2.35032E-07
304,6.88456E-07,9.5988E-06,1.11985E-05,1.42031E-06
305,3.3511E-07,4.92938E-06,2.12719E-05,2.5428E-06
306,2.28558E-06,5.04736E-07,3.12083E-05,1.41086E-05
307,4.1654E-06,3.33298E-06,4.67671E-05,2.70485E-05
308,1.8432E-05,1.30352E-06,6.16304E-05,4.10569E-05
309,3.0797E-05,1.26251E-07,5.58801E-05,6.27676E-05
310,4.38468E-05,1.10215E-05,4.10688E-05,8.95852E-05
311,7.08705E-05,4.78057E-05,5.58798E-05,0.000109546
