Name,5H..5A.4
Date,1/1/1980
Time,01:11am
Irradiance total,7.11E-03
Irradiance UVA,3.14E-03
Irradiance UVB,7.77E-04
Irradiance UVC,2.85E-03
Irradiance @253.7nm,7.10E-06
Irradiance @365nm,9.40E-05
Irradiance WL range,7.11E-03
Spectral Centroid,302.6
,
wavelength [nm],Irradiance[W/(m²*nm)]
,
200,2.89929E-05
201,2.62578E-05
202,2.33655E-05
203,1.99635E-05
204,1.72687E-05
205,1.60921E-05
206,1.57738E-05
207,1.26598E-05
208,8.17441E-06
209,1.43441E-05
210,2.34669E-05
211,1.04445E-05
212,0.000104467
213,0.000181554
214,0.000464997
215,0.000530251
216,0.000346965
217,0.000191315
218,0.000108028
219,4.97367E-05
220,9.73196E-06
221,5.52965E-06
222,2.11443E-06
223,3.85487E-06
224,2.62071E-06
225,2.06921E-06
226,2.22924E-06
227,2.23804E-06
228,2.07001E-06
229,1.90132E-06
230,1.9772E-06
231,2.15877E-06
232,1.53387E-06
233,6.15982E-07
234,2.71801E-06
235,5.14478E-06
236,2.33292E-06
237,1.22297E-05
238,2.0573E-05
239,6.14466E-05
240,4.63056E-05
241,4.14039E-06
242,1.84738E-05
243,6.47053E-05
244,7.80809E-05
245,5.72709E-05
246,2.62866E-05
247,2.389E-06
248,1.32182E-06
249,3.61021E-07
250,1.35521E-06
251,4.69114E-07
252,2.83153E-07
253,5.11273E-07
254,5.11705E-07
255,5.1386E-07
256,6.3397E-07
257,3.59226E-07
258,8.15332E-07
259,1.28129E-06
260,2.55353E-06
261,1.2587E-06
262,9.30976E-06
263,1.71393E-05
264,5.03989E-05
265,4.28272E-05
266,7.42709E-06
267,9.25833E-06
268,1.0933E-05
269,1.09338E-05
270,1.56004E-06
271,7.40703E-07
272,3.7234E-06
273,6.43293E-06
274,9.69554E-06
275,5.4608E-06
276,2.57883E-06
277,1.65541E-06
278,8.24265E-07
279,3.99008E-06
280,4.57401E-06
281,1.90989E-06
282,9.27756E-07
283,6.24008E-07
284,3.36625E-07
285,2.80201E-07
286,1.72354E-07
287,1.90721E-07
288,2.20348E-07
289,2.14252E-07
290,1.91134E-07
291,1.92936E-07
292,2.56799E-07
293,2.2957E-07
294,1.83132E-07
295,1.37714E-07
296,1.2002E-06
297,1.86149E-06
298,1.02039E-06
299,1.53474E-07
300,3.51627E-07
301,1.70605E-07
302,7.42019E-07
303,1.28147E-06
304,7.57686E-06
305,1.11138E-05
306,1.31369E-05
307,2.65786E-05
308,4.93707E-05
309,6.14162E-05
310,5.99111E-05
311,5.89451E-05
312,7.34053E-05
313,0.000113246
314,0.000149135
315,0.000136232
316,9.26092E-05
317,6.12857E-05
318,4.62589E-05
319,3.70955E-05
320,2.62023E-05
321,1.05281E-05
322,5.99096E-06
323,1.57018E-06
324,5.29927E-06
325,2.77194E-06
326,1.65988E-06
327,5.53535E-07
328,2.56711E-06
329,2.47869E-06
330,1.23619E-06
331,1.49551E-05
332,2.82603E-05
333,8.52158E-05
334,0.000136691
335,0.000164911
336,0.000166849
337,0.000144402
338,0.000106394
339,6.59432E-05
340,3.65413E-05
341,1.88971E-05
342,7.59423E-06
343,2.79195E-07
344,4.29213E-07
345,5.82063E-07
346,1.36207E-05
347,1.95402E-05
348,8.84223E-06
349,5.93251E-06
350,3.02817E-06
351,1.20448E-05
352,2.29539E-05
353,4.54007E-05
354,7.78093E-05
355,0.000101618
356,0.000106188
357,9.28256E-05
358,7.1481E-05
359,5.80395E-05
360,4.8655E-05
361,2.73022E-05
362,3.39485E-06
363,1.67465E-06
364,1.52946E-06
365,1.38807E-06
366,1.65443E-07
367,1.7587E-07
368,1.85874E-07
369,4.18354E-06
370,5.32423E-06
371,1.16141E-06
372,7.84699E-07
373,7.60405E-06
374,9.67299E-06
375,5.37322E-06
376,1.28808E-05
377,3.35654E-05
378,4.50521E-05
379,4.21257E-05
380,3.85367E-05
381,3.55861E-05
382,2.35441E-05
383,7.87506E-06
384,3.2167E-06
385,8.41362E-06
386,1.53172E-05
387,3.11236E-05
388,6.59093E-05
389,0.000103683
390,0.000122738
391,0.000119971
392,9.70653E-05
393,6.19406E-05
394,2.524E-05
395,1.86369E-06
396,5.84057E-06
397,9.87176E-06
398,2.07851E-05
399,2.33031E-05
400,1.5662E-05
401,7.40037E-06
402,5.4626E-06
403,1.19541E-05
404,2.21057E-05
405,2.52429E-05
406,2.11311E-05
407,1.74741E-05
408,1.44244E-05
409,7.90378E-06
410,8.1631E-07
411,4.10204E-07
412,5.8623E-07
413,7.64041E-07
414,6.1851E-07
415,1.25461E-07
