Name,5H..01A.3
Date,1/1/1980
Time,00:22am
Irradiance total,4.39E-03
Irradiance UVA,2.70E-03
Irradiance UVB,7.17E-04
Irradiance UVC,8.58E-04
Irradiance @253.7nm,2.56E-04
Irradiance @365nm,1.01E-04
Irradiance WL range,4.39E-03
Spectral Centroid,327.2
,
wavelength [nm],Irradiance[W/(m²*nm)]
,
200,4.19458E-05
201,2.72415E-05
202,2.08183E-05
203,1.99235E-05
204,1.81497E-05
205,1.599E-05
206,1.44184E-05
207,1.32565E-05
208,1.22129E-05
209,1.12955E-05
210,1.05194E-05
211,9.37128E-06
212,8.44743E-06
213,7.67325E-06
214,7.02998E-06
215,6.53831E-06
216,5.68123E-06
217,4.86978E-06
218,4.32499E-06
219,4.36487E-06
220,3.97782E-06
221,2.10549E-06
222,2.25974E-06
223,6.74416E-06
224,3.95003E-06
225,2.20664E-06
226,7.22882E-07
227,6.60232E-05
228,0.000103674
229,5.49804E-05
230,2.65678E-05
231,1.4447E-05
232,3.43725E-06
233,3.90183E-06
234,1.08618E-06
235,1.0599E-06
236,1.54731E-06
237,1.37944E-06
238,1.14201E-06
239,1.07068E-06
240,1.04831E-06
241,9.40051E-07
242,7.65735E-07
243,6.98166E-07
244,9.09745E-07
245,7.8891E-07
246,5.05425E-07
247,2.53329E-07
248,3.30316E-06
249,9.55982E-07
250,1.23991E-06
251,1.57202E-06
252,5.14007E-05
253,7.85001E-05
254,3.94447E-05
255,1.97579E-05
256,1.47323E-05
257,9.60063E-06
258,2.02242E-05
259,1.81792E-05
260,6.24528E-06
261,3.07846E-06
262,2.06282E-06
263,1.07513E-06
264,7.36126E-07
265,3.38357E-07
266,4.25429E-07
267,4.55902E-07
268,4.12868E-07
269,5.03314E-07
270,4.4086E-07
271,3.5266E-07
272,2.72927E-07
273,2.08791E-06
274,3.23408E-06
275,1.96594E-06
276,1.64832E-07
277,3.36861E-07
278,4.91698E-07
279,1.37719E-06
280,6.57316E-07
281,2.88787E-06
282,4.99141E-06
283,2.16933E-05
284,2.37908E-05
285,8.25515E-06
286,4.12388E-06
287,8.65694E-06
288,1.31819E-05
289,3.35254E-05
290,2.72016E-05
291,4.31342E-06
292,2.13221E-06
293,1.05413E-06
294,5.2121E-07
295,5.16696E-06
296,9.57285E-06
297,1.67534E-05
298,9.67432E-06
299,4.72462E-06
300,2.69102E-06
301,7.42185E-07
302,4.12116E-06
303,7.06235E-06
304,8.5484E-06
305,6.38564E-06
306,3.56576E-06
307,1.03352E-05
308,2.64129E-05
309,3.87746E-05
310,4.25122E-05
311,4.13201E-05
312,4.82163E-05
313,7.82192E-05
314,0.000105945
315,8.96259E-05
316,5.048E-05
317,3.26688E-05
318,3.07813E-05
319,2.46209E-05
320,1.42383E-05
321,5.18417E-06
322,2.55841E-06
323,1.37782E-06
324,2.27132E-07
325,4.58678E-07
326,2.28749E-07
327,4.98452E-07
328,7.66775E-07
329,2.16494E-06
330,1.07971E-06
331,1.20152E-05
332,2.2621E-05
333,7.97488E-05
334,0.000133225
335,0.000163629
336,0.000165454
337,0.000137909
338,8.81961E-05
339,3.94382E-05
340,1.81644E-05
341,1.49783E-05
342,8.38523E-06
343,2.63743E-07
344,2.18408E-07
345,1.72218E-07
346,7.31831E-07
347,3.65576E-07
348,5.90538E-07
349,8.15083E-07
350,5.6325E-06
351,9.16097E-06
352,1.51563E-05
353,4.19725E-05
354,8.49309E-05
355,0.000106536
356,9.77292E-05
357,8.40054E-05
358,7.11953E-05
359,4.76556E-05
360,1.89484E-05
361,1.94306E-06
362,3.4417E-06
363,4.90012E-06
364,1.03881E-05
365,8.9904E-06
366,5.23463E-06
367,5.90549E-06
