air_input_level,species,auc_raw,auc_normalized
none,N2,0.00015068265555555558,0.07390528416785563
none,N2+,0.00018619265000000004,0.09132186221089428
none,OH,6.871016666666665e-06,0.0033700258161752953
low,N2,0.00019617648333333334,0.04961215985184981
low,N2+,0.00025715998333333335,0.06503461568813099
low,OH,2.510542222222222e-05,0.0063490495867474656
medium,N2,0.00020993286250000005,0.027087527653932294
medium,N2+,0.0002506375625,0.03233963384523912
medium,OH,3.936536666666666e-05,0.005079292710499374
high,N2,0.0003352200375,0.039947567990844965
high,N2+,0.0002063844625,0.024594464607363285
high,OH,1.2911879166666668e-05,0.0015386853803451154
