dataset,param_set,channel,species,peak_assignments,concentration_score,mean_delta_nm,group_total_signal,relative_concentration,group_label
air,100H,bulk,N2,4,0.00015925510693705903,0.6999999999999886,0.00025445414326832455,0.6258695767005957,air | 100H | bulk
air,100H,bulk,N2+,2,7.720050625394934e-05,0.6000000000000227,0.00025445414326832455,0.3033965384188718,air | 100H | bulk
air,100H,bulk,OH,1,1.799853007731618e-05,0.1999999999999886,0.00025445414326832455,0.07073388488053245,air | 100H | bulk
air,5H..01A,bulk,N2,4,0.0002814316682566377,0.4750000000000085,0.00039727178416729825,0.7084109153297476,air | 5H..01A | bulk
air,5H..01A,bulk,N2+,1,9.710573074458425e-05,0.1999999999999886,0.00039727178416729825,0.2444314814557565,air | 5H..01A | bulk
air,5H..01A,bulk,OH,1,1.8734385166076314e-05,1.3999999999999773,0.00039727178416729825,0.04715760321449592,air | 5H..01A | bulk
air,5H..5A,bulk,N2,3,0.0002469937045299366,0.7333333333333295,0.0003880311061602035,0.6365306817128268,air | 5H..5A | bulk
air,5H..5A,bulk,N2+,1,0.00011255985842736132,0.1000000000000227,0.0003880311061602035,0.2900794720846157,air | 5H..5A | bulk
air,5H..5A,bulk,OH,1,2.8477543202905584e-05,1.0,0.0003880311061602035,0.07338984620255747,air | 5H..5A | bulk
air,5H..9A,bulk,N2,5,0.0005025594081616765,0.5000000000000113,0.0005995611914411291,0.8382120379634725,air | 5H..9A | bulk
air,5H..9A,bulk,N2+,1,9.700178327945253e-05,0.1000000000000227,0.0005995611914411291,0.1617879620365274,air | 5H..9A | bulk
