dataset,param_set,channel,group_label,species,relative_concentration,concentration_score
air,100H,bulk,air | 100H | bulk,N2,0.6258695767005957,0.00015925510693705903
air,100H,bulk,air | 100H | bulk,N2+,0.3033965384188718,7.720050625394934e-05
air,100H,bulk,air | 100H | bulk,OH,0.07073388488053245,1.799853007731618e-05
air,5H..01A,bulk,air | 5H..01A | bulk,N2,0.7084109153297476,0.0002814316682566377
air,5H..01A,bulk,air | 5H..01A | bulk,N2+,0.2444314814557565,9.710573074458425e-05
air,5H..01A,bulk,air | 5H..01A | bulk,OH,0.04715760321449592,1.8734385166076314e-05
air,5H..5A,bulk,air | 5H..5A | bulk,N2,0.6365306817128268,0.0002469937045299366
air,5H..5A,bulk,air | 5H..5A | bulk,N2+,0.2900794720846157,0.00011255985842736132
air,5H..5A,bulk,air | 5H..5A | bulk,OH,0.07338984620255747,2.8477543202905584e-05
air,5H..9A,bulk,air | 5H..9A | bulk,N2,0.8382120379634725,0.0005025594081616765
air,5H..9A,bulk,air | 5H..9A | bulk,N2+,0.1617879620365274,9.700178327945253e-05
