dataset,param_set,channel,group_label,line_name,wavelength_nm,line_area,line_peak,line_points
air,100H.cont.trial,bulk,air | 100H.cont.trial | bulk,OH_308,308.0,8.029474999999998e-06,8.029474999999998e-06,1.0
air,100H.cont.trial,bulk,air | 100H.cont.trial | bulk,N2_337,337.0,0.0,0.0,1.0
air,100H.cont.trial,bulk,air | 100H.cont.trial | bulk,N2CB_349.9,349.9,0.0,0.0,1.0
air,100H.cont.trial,bulk,air | 100H.cont.trial | bulk,N2CB_353.6,353.6,0.0,0.0,2.0
air,100H.cont.trial,bulk,air | 100H.cont.trial | bulk,N2CB_357.6,357.6,0.0,0.0,2.0
air,100H.cont.trial,bulk,air | 100H.cont.trial | bulk,N2CB_370.9,370.9,2.309715e-08,2.309715e-08,1.0
air,100H.cont.trial,bulk,air | 100H.cont.trial | bulk,N2CB_375.4,375.4,0.0,0.0,2.0
air,100H.cont.trial,bulk,air | 100H.cont.trial | bulk,N2_379,379.0,6.376749999999998e-07,6.376749999999998e-07,1.0
air,100H.cont.trial,bulk,air | 100H.cont.trial | bulk,N2CB_380.4,380.4,0.0,0.0,2.0
air,100H.cont.trial,bulk,air | 100H.cont.trial | bulk,N2plus_391,391.44,0.0,0.0,2.0
air,100H.cont.trial,bulk,air | 100H.cont.trial | bulk,N2CB_394.2,394.2,1.14242e-06,2.28484e-06,2.0
air,100H.cont.trial,bulk,air | 100H.cont.trial | bulk,N2CB_399.7,399.7,2.7863249999999996e-08,5.572649999999999e-08,2.0
air,100H.cont.trial,bulk,air | 100H.cont.trial | bulk,N2CB_405.8,405.8,6.639999999999985e-10,1.327999999999997e-09,2.0
air,100H.cont.trial,bulk,air | 100H.cont.trial | bulk,N2plus_428,428.0,0.0,0.0,1.0
air,100H.cont.trial,bulk,air | 100H.cont.trial | bulk,Hbeta_486,486.1,0.0,0.0,1.0
air,100H.cont.trial,bulk,air | 100H.cont.trial | bulk,N_672,672.0,,,0.0
air,100H.cont.trial,bulk,air | 100H.cont.trial | bulk,Ar_750,750.4,,,0.0
air,100H.cont.trial,bulk,air | 100H.cont.trial | bulk,O_777,777.2,,,0.0
air,1H.1A-CONT,bulk,air | 1H.1A-CONT | bulk,OH_308,308.0,0.0,0.0,1.0
air,1H.1A-CONT,bulk,air | 1H.1A-CONT | bulk,N2_337,337.0,8.909049999999996e-06,8.909049999999996e-06,1.0
air,1H.1A-CONT,bulk,air | 1H.1A-CONT | bulk,N2CB_349.9,349.9,0.0,0.0,1.0
air,1H.1A-CONT,bulk,air | 1H.1A-CONT | bulk,N2CB_353.6,353.6,0.0,0.0,2.0
air,1H.1A-CONT,bulk,air | 1H.1A-CONT | bulk,N2CB_357.6,357.6,0.0,0.0,2.0
air,1H.1A-CONT,bulk,air | 1H.1A-CONT | bulk,N2CB_370.9,370.9,1.6614475000000007e-06,1.6614475000000007e-06,1.0
air,1H.1A-CONT,bulk,air | 1H.1A-CONT | bulk,N2CB_375.4,375.4,0.0,0.0,2.0
air,1H.1A-CONT,bulk,air | 1H.1A-CONT | bulk,N2_379,379.0,0.0,0.0,1.0
air,1H.1A-CONT,bulk,air | 1H.1A-CONT | bulk,N2CB_380.4,380.4,0.0,0.0,2.0
air,1H.1A-CONT,bulk,air | 1H.1A-CONT | bulk,N2plus_391,391.44,0.0,0.0,2.0
air,1H.1A-CONT,bulk,air | 1H.1A-CONT | bulk,N2CB_394.2,394.2,2.083685e-06,4.16737e-06,2.0
