dataset,param_set,channel,candidate_rank,peak_rank,peak_wavelength_nm_0p1,peak_intensity_refined,delta_nm,trace_species,target_wavelength_nm,source_url,status
air,100H.cont.trial,bulk,,10.0,259.9,5.231225089388365e-07,,Unassigned,,,sub300_unassigned
air,100H.cont.trial,bulk,1.0,7.0,304.1,1.1544031288848344e-06,0.0964000000000169,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,100H.cont.trial,bulk,,5.0,308.5,2.427266185956116e-05,0.5,OH,308.0,configs/target_species_lines.csv,target_match
air,100H.cont.trial,bulk,,4.0,314.1,4.470549611207378e-05,0.8999999999999773,N2,315.0,configs/target_species_lines.csv,target_match
air,100H.cont.trial,bulk,2.0,4.0,314.1,4.470549611207378e-05,0.132000000000005,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,100H.cont.trial,bulk,,9.0,329.0,9.730545388504004e-07,1.0,N2+,328.0,configs/target_species_lines.csv,target_match
air,100H.cont.trial,bulk,1.0,9.0,329.0,9.730545388504004e-07,0.0018999999999778,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,100H.cont.trial,bulk,1.0,1.0,335.4,9.741888475842173e-05,0.0555098000000384,He I,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=He+I&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,100H.cont.trial,bulk,,1.0,335.4,9.741888475842173e-05,0.6000000000000227,N2,336.0,configs/target_species_lines.csv,target_match
air,100H.cont.trial,bulk,2.0,1.0,335.4,9.741888475842173e-05,0.2690000000000054,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,100H.cont.trial,bulk,,2.0,355.8,6.106816997851457e-05,0.1999999999999886,N2,356.0,configs/target_species_lines.csv,target_match
air,100H.cont.trial,bulk,,6.0,379.1,2.5814268101403534e-06,0.1000000000000227,N2,379.0,configs/target_species_lines.csv,target_match
air,100H.cont.trial,bulk,3.0,6.0,379.1,2.5814268101403534e-06,0.3360999999999876,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,100H.cont.trial,bulk,1.0,8.0,384.1,1.029636347064661e-06,0.0138000000000033,N II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=N+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,100H.cont.trial,bulk,,3.0,390.5,6.134933270114337e-05,0.5,N2+,390.0,configs/target_species_lines.csv,target_match
air,100H.cont.trial,bulk,2.0,3.0,390.5,6.134933270114337e-05,0.2454999999999927,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,1H.1A-CONT,bulk,,6.0,251.0,3.446199643249115e-05,,Unassigned,,,sub300_unassigned
air,1H.1A-CONT,bulk,,8.0,266.2,2.7041499319583528e-05,,Unassigned,,,sub300_unassigned
air,1H.1A-CONT,bulk,1.0,4.0,312.3,4.651029329902958e-05,0.0479000000000269,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,1H.1A-CONT,bulk,,7.0,316.4,3.305616801453941e-05,1.3999999999999773,N2,315.0,configs/target_species_lines.csv,target_match
air,1H.1A-CONT,bulk,,1.0,335.9,0.0001081548175418,0.1000000000000227,N2,336.0,configs/target_species_lines.csv,target_match
air,1H.1A-CONT,bulk,1.0,1.0,335.9,0.0001081548175418,0.1105000000000018,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,1H.1A-CONT,bulk,,3.0,354.9,5.09570463159654e-05,1.1000000000000227,N2,356.0,configs/target_species_lines.csv,target_match
air,1H.1A-CONT,bulk,1.0,3.0,354.9,5.09570463159654e-05,0.0091000000000462,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,1H.1A-CONT,bulk,3.0,9.0,377.4,2.1142087001900427e-05,0.1606000000000449,N II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=N+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
air,1H.1A-CONT,bulk,,9.0,377.4,2.1142087001900427e-05,1.6000000000000227,N2,379.0,configs/target_species_lines.csv,target_match
air,1H.1A-CONT,bulk,1.0,9.0,377.4,2.1142087001900427e-05,0.0,O II,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data,nist_reactive_candidate
