spectra,status,line_count,message,source_url
H I,ok,143,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=H+I&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data
N I,ok,48,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=N+I&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data
N II,ok,210,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=N+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data
O I,ok,129,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+I&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data
O II,ok,775,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=O+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data
Ar I,ok,70,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=Ar+I&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data
Ar II,ok,1138,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=Ar+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data
He I,ok,117,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=He+I&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data
He II,ok,39,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=He+II&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data
C I,ok,182,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=C+I&limits_type=0&low_w=200.000&upp_w=500.000&unit=1&de=0&format=2&line_out=0&en_unit=0&output=0&page_size=15&show_obs_wl=1&show_calc_wl=1&unc_out=1&show_av=2&allowed_out=1&forbid_out=1&remove_js=on&submit=Retrieve+Data
