peak_rank,dataset,param_set,channel,n_curves,peak_wavelength_nm_grid,peak_wavelength_nm_refined,peak_wavelength_nm_0p1,peak_intensity,peak_intensity_refined,candidate_rank,delta_nm,nist_wavelength_nm,nist_obs_wl_nm,nist_ritz_wl_nm,nist_aki_s-1,nist_acc,nist_transition_type,nist_spectra_query,nist_element,nist_ion_stage,nist_species,nist_transition,nist_rel_intensity,nist_source
1,air,100H.cont.trial,bulk,1,335.0,335.35558839948385,335.4,9.53464e-05,9.741888475842173e-05,1,0.05550980000003847,335.4555098,,335.4555098,1453700.0,AAA,,He I,He,I,He I,,1453700.0,live_nist
1,air,100H.cont.trial,bulk,1,335.0,335.35558839948385,335.4,9.53464e-05,9.741888475842173e-05,2,0.26900000000000546,335.131,,335.131,,,,O II,O,II,O II,,,live_nist
1,air,100H.cont.trial,bulk,1,335.0,335.35558839948385,335.4,9.53464e-05,9.741888475842173e-05,3,0.3076199999999858,335.09238,335.09238,335.092386,150000000.0,D,,Ar II,Ar,II,Ar II,,150000000.0,live_nist
2,air,100H.cont.trial,bulk,1,356.0,355.83827224270317,355.8,6.0734e-05,6.106816997851457e-05,1,0.10962000000000671,355.69038,355.69038,355.690383,5000000.0,B,,Ar II,Ar,II,Ar II,,5000000.0,live_nist
2,air,100H.cont.trial,bulk,1,356.0,355.83827224270317,355.8,6.0734e-05,6.106816997851457e-05,2,0.15078999999997222,355.95079,355.95079,355.95078,288000000.0,B,,Ar II,Ar,II,Ar II,,288000000.0,live_nist
2,air,100H.cont.trial,bulk,1,356.0,355.83827224270317,355.8,6.0734e-05,6.106816997851457e-05,3,0.30302999999997837,356.10303,356.10303,356.103016,400000000.0,D,,Ar II,Ar,II,Ar II,,400000000.0,live_nist
3,air,100H.cont.trial,bulk,1,391.0,390.5010770829881,390.5,5.96969e-05,6.134933270114337e-05,1,0.19499999999999318,390.695,390.695,390.693849,,,,Ar II,Ar,II,Ar II,,,live_nist
3,air,100H.cont.trial,bulk,1,391.0,390.5010770829881,390.5,5.96969e-05,6.134933270114337e-05,2,0.24549999999999272,390.7455,390.7455,390.74549,8640000.0,C,,O II,O,II,O II,,8640000.0,live_nist
3,air,100H.cont.trial,bulk,1,391.0,390.5010770829881,390.5,5.96969e-05,6.134933270114337e-05,3,0.43749000000002525,390.06251,390.06251,390.062636,7200000.0,B,,Ar II,Ar,II,Ar II,,7200000.0,live_nist
4,air,100H.cont.trial,bulk,1,314.0,314.0854344794887,314.1,4.45885e-05,4.470549611207378e-05,1,0.003700000000037562,314.0963,314.0963,314.097313,,,,Ar II,Ar,II,Ar II,,,live_nist
4,air,100H.cont.trial,bulk,1,314.0,314.0854344794887,314.1,4.45885e-05,4.470549611207378e-05,2,0.132000000000005,313.968,313.968,313.9678,76400000.0,C,,O II,O,II,O II,,76400000.0,live_nist
4,air,100H.cont.trial,bulk,1,314.0,314.0854344794887,314.1,4.45885e-05,4.470549611207378e-05,3,0.17364000000003443,313.92636,313.92636,313.926372,,,,Ar II,Ar,II,Ar II,,,live_nist
5,air,100H.cont.trial,bulk,1,309.0,308.5120782786015,308.5,2.2344e-05,2.427266185956116e-05,1,0.0027299999999854663,308.50273,308.50273,308.502675,,,,Ar II,Ar,II,Ar II,,,live_nist
5,air,100H.cont.trial,bulk,1,309.0,308.5120782786015,308.5,2.2344e-05,2.427266185956116e-05,2,0.18070000000000164,308.3193,308.3193,308.319881,,,,Ar II,Ar,II,Ar II,,,live_nist
5,air,100H.cont.trial,bulk,1,309.0,308.5120782786015,308.5,2.2344e-05,2.427266185956116e-05,3,0.20222999999998592,308.29777,308.29777,308.29776,,,,Ar II,Ar,II,Ar II,,,live_nist
6,air,100H.cont.trial,bulk,1,379.0,379.1389226486847,379.1,2.56912e-06,2.5814268101403534e-06,1,0.2225999999999999,379.3226,379.3226,379.322798,,,,Ar II,Ar,II,Ar II,,,live_nist
6,air,100H.cont.trial,bulk,1,379.0,379.1389226486847,379.1,2.56912e-06,2.5814268101403534e-06,2,0.2677999999999656,379.3678,379.3678,379.3678,,,,C I,C,I,C I,,,live_nist
6,air,100H.cont.trial,bulk,1,379.0,379.1389226486847,379.1,2.56912e-06,2.5814268101403534e-06,3,0.33609999999998763,379.4361,379.4361,379.4359,6860000.0,C,,O II,O,II,O II,,6860000.0,live_nist
7,air,100H.cont.trial,bulk,1,304.0,304.05851647223517,304.1,1.15211e-06,1.1544031288848344e-06,1,0.09640000000001692,304.0036,,304.0036,,,,O II,O,II,O II,,,live_nist
7,air,100H.cont.trial,bulk,1,304.0,304.05851647223517,304.1,1.15211e-06,1.1544031288848344e-06,2,0.14039999999999964,303.9596,,303.9596,,,,O II,O,II,O II,,,live_nist
7,air,100H.cont.trial,bulk,1,304.0,304.05851647223517,304.1,1.15211e-06,1.1544031288848344e-06,3,0.14629999999999654,304.2463,304.2463,304.246739,,,,Ar II,Ar,II,Ar II,,,live_nist
8,air,100H.cont.trial,bulk,1,384.0,384.0757121750258,384.1,1.02784e-06,1.0296363470646613e-06,1,0.013800000000003365,384.1138,,384.1138,59900.0,C,,N II,N,II,N II,,59900.0,live_nist
8,air,100H.cont.trial,bulk,1,384.0,384.0757121750258,384.1,1.02784e-06,1.0296363470646613e-06,2,0.05185999999997648,384.15186,384.15186,384.151838,26900000.0,B,,Ar II,Ar,II,Ar II,,26900000.0,live_nist
8,air,100H.cont.trial,bulk,1,384.0,384.0757121750258,384.1,1.02784e-06,1.0296363470646613e-06,3,0.11869999999998981,384.2187,,384.2187,30600000.0,B,,N II,N,II,N II,,30600000.0,live_nist
9,air,100H.cont.trial,bulk,1,329.0,329.04972771753245,329.0,9.71717e-07,9.730545388504004e-07,1,0.0018999999999778083,328.9981,328.9981,328.9982,,,,O II,O,II,O II,,,live_nist
9,air,100H.cont.trial,bulk,1,329.0,329.04972771753245,329.0,9.71717e-07,9.730545388504004e-07,2,0.1440499999999929,329.14405,329.14405,329.144028,,,,Ar II,Ar,II,Ar II,,,live_nist
9,air,100H.cont.trial,bulk,1,329.0,329.04972771753245,329.0,9.71717e-07,9.730545388504004e-07,3,0.25279999999997926,328.7472,328.7472,328.7471,49200000.0,B,,O II,O,II,O II,,49200000.0,live_nist
10,air,100H.cont.trial,bulk,1,260.0,259.93274315934696,259.9,5.23093e-07,5.231225089388365e-07,1,0.1956000000000131,260.0956,260.0956,260.095957,,,,Ar II,Ar,II,Ar II,,,live_nist
1,air,1H.1A-CONT,bulk,1,336.0,335.88683734258353,335.9,0.000107985,0.00010815481754185205,1,0.11050000000000182,336.0105,336.0105,336.0083,,,,O II,O,II,O II,,,live_nist
1,air,1H.1A-CONT,bulk,1,336.0,335.88683734258353,335.9,0.000107985,0.00010815481754185205,2,0.127900000000011,336.0279,336.0279,336.0281,,,,O II,O,II,O II,,,live_nist
1,air,1H.1A-CONT,bulk,1,336.0,335.88683734258353,335.9,0.000107985,0.00010815481754185205,3,0.16160000000002128,336.0616,,336.0616,,,,O II,O,II,O II,,,live_nist
2,air,1H.1A-CONT,bulk,1,390.0,390.48855981416955,390.5,5.26455e-05,5.367306342915215e-05,1,0.19499999999999318,390.695,390.695,390.693849,,,,Ar II,Ar,II,Ar II,,,live_nist
2,air,1H.1A-CONT,bulk,1,390.0,390.48855981416955,390.5,5.26455e-05,5.367306342915215e-05,2,0.24549999999999272,390.7455,390.7455,390.74549,8640000.0,C,,O II,O,II,O II,,8640000.0,live_nist
2,air,1H.1A-CONT,bulk,1,390.0,390.48855981416955,390.5,5.26455e-05,5.367306342915215e-05,3,0.43749000000002525,390.06251,390.06251,390.062636,7200000.0,B,,Ar II,Ar,II,Ar II,,7200000.0,live_nist
3,air,1H.1A-CONT,bulk,1,355.0,354.87582383012193,354.9,5.081e-05,5.09570463159654e-05,1,0.009100000000046293,354.9091,354.9091,354.9098,,,,O II,O,II,O II,,,live_nist
3,air,1H.1A-CONT,bulk,1,355.0,354.87582383012193,354.9,5.081e-05,5.09570463159654e-05,2,0.03680000000002792,354.9368,,354.9368,,,,O II,O,II,O II,,,live_nist
3,air,1H.1A-CONT,bulk,1,355.0,354.87582383012193,354.9,5.081e-05,5.09570463159654e-05,3,0.04858999999999014,354.85141,354.85141,354.851395,87000000.0,B,,Ar II,Ar,II,Ar II,,87000000.0,live_nist
4,air,1H.1A-CONT,bulk,1,312.0,312.2645953983409,312.3,4.59959e-05,4.651029329902958e-05,1,0.04790000000002692,312.2521,312.2521,312.2524,28000000.0,C,,O II,O,II,O II,,28000000.0,live_nist
4,air,1H.1A-CONT,bulk,1,312.0,312.2645953983409,312.3,4.59959e-05,4.651029329902958e-05,2,0.09210000000001628,312.3921,312.3921,312.391,7760000.0,C,,O II,O,II,O II,,7760000.0,live_nist
4,air,1H.1A-CONT,bulk,1,312.0,312.2645953983409,312.3,4.59959e-05,4.651029329902958e-05,3,0.1268000000000029,312.4268,312.4268,312.427803,,,,Ar II,Ar,II,Ar II,,,live_nist
5,air,1H.1A-CONT,bulk,1,358.0,357.7862652086863,357.8,4.01411e-05,4.05118710858617e-05,1,0.03555999999997539,357.83556,357.83556,357.835563,,,,Ar II,Ar,II,Ar II,,,live_nist
5,air,1H.1A-CONT,bulk,1,358.0,357.7862652086863,357.8,4.01411e-05,4.05118710858617e-05,2,0.13846999999998388,357.66153,357.66153,357.661538,275000000.0,B,,Ar II,Ar,II,Ar II,,275000000.0,live_nist
5,air,1H.1A-CONT,bulk,1,358.0,357.7862652086863,357.8,4.01411e-05,4.05118710858617e-05,3,0.22467000000000326,357.57533,357.57533,357.575359,,,,Ar II,Ar,II,Ar II,,,live_nist
6,air,1H.1A-CONT,bulk,1,251.0,250.97551852349594,251.0,3.44533e-05,3.446199643249115e-05,1,0.06264999999999077,251.06265,251.06265,251.062596,,,,Ar II,Ar,II,Ar II,,,live_nist
6,air,1H.1A-CONT,bulk,1,251.0,250.97551852349594,251.0,3.44533e-05,3.446199643249115e-05,2,0.14519999999998845,250.8548,250.8548,250.854758,,,,Ar II,Ar,II,Ar II,,,live_nist
6,air,1H.1A-CONT,bulk,1,251.0,250.97551852349594,251.0,3.44533e-05,3.446199643249115e-05,3,0.22571999999999548,251.22572,251.22572,251.225727,,,,Ar II,Ar,II,Ar II,,,live_nist
7,air,1H.1A-CONT,bulk,1,316.0,316.4000855259848,316.4,3.2738e-05,3.305616801453941e-05,1,0.046499999999980446,316.3535,316.3535,316.354059,,,,Ar II,Ar,II,Ar II,,,live_nist
7,air,1H.1A-CONT,bulk,1,316.0,316.4000855259848,316.4,3.2738e-05,3.305616801453941e-05,2,0.12910000000005084,316.5291,316.5291,316.529107,,,,Ar II,Ar,II,Ar II,,,live_nist
7,air,1H.1A-CONT,bulk,1,316.0,316.4000855259848,316.4,3.2738e-05,3.305616801453941e-05,3,0.25430000000000064,316.1457,316.1457,316.145654,,,,Ar II,Ar,II,Ar II,,,live_nist
8,air,1H.1A-CONT,bulk,1,266.0,266.23234045126213,266.2,2.64612e-05,2.7041499319583528e-05,1,0.41100000000000136,265.789,265.789,265.788775,,,,Ar II,Ar,II,Ar II,,,live_nist
9,air,1H.1A-CONT,bulk,1,377.0,377.4260884500737,377.4,2.03229e-05,2.1142087001900427e-05,1,0.0,377.4,,377.4,4900000.0,D,,O II,O,II,O II,,4900000.0,live_nist
9,air,1H.1A-CONT,bulk,1,377.0,377.4260884500737,377.4,2.03229e-05,2.1142087001900427e-05,2,0.05220000000002756,377.4522,377.4522,377.451913,,,,Ar II,Ar,II,Ar II,,,live_nist
9,air,1H.1A-CONT,bulk,1,377.0,377.4260884500737,377.4,2.03229e-05,2.1142087001900427e-05,3,0.16060000000004493,377.5606,,377.5606,661.0,D,,N II,N,II,N II,,661.0,live_nist
10,air,1H.1A-CONT,bulk,1,385.0,385.1088471363283,385.1,1.16167e-05,1.1678061484633698e-05,1,0.003199999999992542,385.1032,385.1032,385.10332,15200000.0,B+,,O II,O,II,O II,,15200000.0,live_nist
10,air,1H.1A-CONT,bulk,1,385.0,385.1088471363283,385.1,1.16167e-05,1.1678061484633698e-05,2,0.02030000000002019,385.0797,385.0797,385.07987,3400000.0,C,,O II,O,II,O II,,3400000.0,live_nist
10,air,1H.1A-CONT,bulk,1,385.0,385.1088471363283,385.1,1.16167e-05,1.1678061484633698e-05,3,0.04192000000000462,385.05808,385.05808,385.058079,38700000.0,B,,Ar II,Ar,II,Ar II,,38700000.0,live_nist
