dataset,param_set,channel,species,target_wavelength_nm,target_rank,matched,matched_peak_rank,matched_peak_wavelength_nm_0p1,matched_peak_intensity,delta_nm
air,100H.cont.trial,bulk,O II,247.0,1,False,,,,12.899999999999977
air,100H.cont.trial,bulk,OH,282.0,2,False,,,,22.100000000000023
air,100H.cont.trial,bulk,O I,297.0,3,False,,,,7.100000000000023
air,100H.cont.trial,bulk,OH,308.0,4,True,5.0,308.5,2.427266185956116e-05,0.5
air,100H.cont.trial,bulk,N2,315.0,5,True,4.0,314.1,4.470549611207378e-05,0.8999999999999773
air,100H.cont.trial,bulk,N2+,328.0,6,True,9.0,329.0,9.730545388504004e-07,1.0
air,100H.cont.trial,bulk,N2,336.0,7,True,1.0,335.4,9.741888475842173e-05,0.6000000000000227
air,100H.cont.trial,bulk,N2,356.0,8,True,2.0,355.8,6.106816997851457e-05,0.19999999999998863
air,100H.cont.trial,bulk,O II,372.0,9,False,,,,7.100000000000023
air,100H.cont.trial,bulk,N2,374.0,10,False,,,,5.100000000000023
air,100H.cont.trial,bulk,N2,379.0,11,True,6.0,379.1,2.5814268101403534e-06,0.10000000000002274
air,100H.cont.trial,bulk,N2+,390.0,12,True,3.0,390.5,6.134933270114337e-05,0.5
air,100H.cont.trial,bulk,N2,401.0,13,False,,,,10.5
air,100H.cont.trial,bulk,N2,405.0,14,False,,,,14.5
air,100H.cont.trial,bulk,O I,436.0,15,False,,,,45.5
air,1H.1A-CONT,bulk,O II,247.0,1,False,,,,4.0
air,1H.1A-CONT,bulk,OH,282.0,2,False,,,,15.800000000000011
air,1H.1A-CONT,bulk,O I,297.0,3,False,,,,15.300000000000011
air,1H.1A-CONT,bulk,OH,308.0,4,False,,,,4.300000000000011
air,1H.1A-CONT,bulk,N2,315.0,5,True,7.0,316.4,3.305616801453941e-05,1.3999999999999773
air,1H.1A-CONT,bulk,N2+,328.0,6,False,,,,7.899999999999977
air,1H.1A-CONT,bulk,N2,336.0,7,True,1.0,335.9,0.00010815481754185205,0.10000000000002274
air,1H.1A-CONT,bulk,N2,356.0,8,True,3.0,354.9,5.09570463159654e-05,1.1000000000000227
air,1H.1A-CONT,bulk,O II,372.0,9,False,,,,5.399999999999977
air,1H.1A-CONT,bulk,N2,374.0,10,False,,,,3.3999999999999773
air,1H.1A-CONT,bulk,N2,379.0,11,True,9.0,377.4,2.1142087001900427e-05,1.6000000000000227
air,1H.1A-CONT,bulk,N2+,390.0,12,True,2.0,390.5,5.367306342915215e-05,0.5
air,1H.1A-CONT,bulk,N2,401.0,13,False,,,,10.5
air,1H.1A-CONT,bulk,N2,405.0,14,False,,,,14.5
air,1H.1A-CONT,bulk,O I,436.0,15,False,,,,45.5
air,1H.9A,bulk,O II,247.0,1,False,,,,23.100000000000023
air,1H.9A,bulk,OH,282.0,2,False,,,,11.899999999999977
air,1H.9A,bulk,O I,297.0,3,True,9.0,296.6,3.3149731576002154e-05,0.39999999999997726
air,1H.9A,bulk,OH,308.0,4,False,,,,6.100000000000023
air,1H.9A,bulk,N2,315.0,5,True,4.0,314.1,0.00016508673389068772,0.8999999999999773
air,1H.9A,bulk,N2+,328.0,6,False,,,,7.399999999999977
air,1H.9A,bulk,N2,336.0,7,True,2.0,335.4,0.00033728134079681946,0.6000000000000227
air,1H.9A,bulk,N2,356.0,8,True,3.0,356.0,0.00022214231709700454,0.0
air,1H.9A,bulk,O II,372.0,9,True,8.0,373.6,4.027186133675721e-05,1.6000000000000227
air,1H.9A,bulk,N2,374.0,10,True,8.0,373.6,4.027186133675721e-05,0.39999999999997726
air,1H.9A,bulk,N2,379.0,11,True,5.0,379.0,7.969840686814547e-05,0.0
air,1H.9A,bulk,N2+,390.0,12,True,6.0,390.3,6.715211254321032e-05,0.30000000000001137
air,1H.9A,bulk,N2,401.0,13,False,,,,10.699999999999989
air,1H.9A,bulk,N2,405.0,14,False,,,,14.699999999999989
air,1H.9A,bulk,O I,436.0,15,False,,,,45.69999999999999
