PC1,PC2,PC3,PC4,PC5,sample_id,dataset,param_set,trial,channel,normalize
63.51043794858904,-20.48200959320385,14.714112557926567,0.047363928763336074,0.010502059363719875,air__100H.1__bulk,air,100H,1.0,bulk,none
65.79562766311606,2.1198003600795414,-2.366454436905664,0.3495170916911184,-0.14545238179824257,air__100H.2__bulk,air,100H,2.0,bulk,none
65.44781851732903,1.2523356069341351,-3.424779104508697,0.29210096127315954,0.013798950704807094,air__100H.3__bulk,air,100H,3.0,bulk,none
66.01497121413395,3.0655325786010454,-2.2989525102226507,-0.5128304791795142,-0.031365943739009215,air__5H..01A.1__bulk,air,5H..01A,1.0,bulk,none
66.76233227220123,5.486923972397854,-1.091762597094717,-0.3455593048930563,-0.0806686407125874,air__5H..01A.2__bulk,air,5H..01A,2.0,bulk,none
64.97267476417257,-3.649560027296315,-5.518503295086871,-2.021246961060249,0.10480304305443784,air__5H..01A.3__bulk,air,5H..01A,3.0,bulk,none
-80.58391054714475,-24.10261358678755,-10.210420749537516,0.6829255728855615,-0.005590050663583665,air__5H..5A.1__bulk,air,5H..5A,1.0,bulk,none
-64.06514426529381,3.466111432938995,1.7657727294660162,-0.19893993669408155,-0.0060049891756977485,air__5H..5A.2__bulk,air,5H..5A,2.0,bulk,none
-49.43625242949583,7.917843088731615,2.345327868267702,-0.8148194885786029,0.05288268666444196,air__5H..5A.3__bulk,air,5H..5A,3.0,bulk,none
-58.30157251000282,2.130226955146579,0.7478101181395215,-0.43062917971491377,0.014761602985990826,air__5H..5A.4__bulk,air,5H..5A,4.0,bulk,none
-70.59600531924097,2.194793681780065,1.6905368562954852,0.34096836802397845,-0.0484887974974999,air__5H..9A.1__bulk,air,5H..9A,1.0,bulk,none
67.42128248482611,7.995037367747261,-1.1891496417939083,2.3839374292103934,0.1186679559577406,air__5H..9A.2__bulk,air,5H..9A,2.0,bulk,none
-72.41396639297521,3.4824493269605,1.264047060092027,0.24947895796137667,-0.00023800002820484892,air__5H..9A.3__bulk,air,5H..9A,3.0,bulk,none
-64.52829340021448,9.123128835969979,3.572415144962651,-0.022266959688497026,0.0023925048836870902,air__5H..9A.4__bulk,air,5H..9A,4.0,bulk,none
