peak_rank,dataset,param_set,channel,n_curves,peak_wavelength_nm_grid,peak_wavelength_nm_refined,peak_wavelength_nm_0p1,peak_intensity,peak_intensity_refined
1,air,100H,bulk,3,335.0,335.34109214453343,335.3,0.00012906466666666666,0.0001307551932382723
2,air,100H,bulk,3,390.0,390.0978727679337,390.1,8.37513e-05,8.384903166802662e-05
3,air,100H,bulk,3,356.0,355.6856112716226,355.7,6.477403333333334e-05,6.55272275094375e-05
4,air,100H,bulk,3,314.0,313.59894466880877,313.6,5.0343299999999996e-05,5.1434571556171324e-05
5,air,100H,bulk,3,308.0,307.8142883613788,307.8,2.1479548666666664e-05,2.1598236092779213e-05
6,air,100H,bulk,3,379.0,378.62360163666233,378.6,1.4473693333333334e-05,1.4705118793111523e-05
7,air,100H,bulk,3,429.0,428.9915394704995,429.0,8.674921333333333e-06,8.675021984022535e-06
8,air,100H,bulk,3,329.0,329.06379445930236,329.1,2.0408666666666664e-06,2.0456390397915927e-06
9,air,100H,bulk,3,408.0,408.2114524015754,408.2,1.2009929666666667e-06,1.2220344171749967e-06
10,air,100H,bulk,3,350.0,350.3378526478017,350.3,6.578343333333334e-07,6.889411586305065e-07
1,air,5H..01A,bulk,3,335.0,335.3929740791269,335.4,0.00016049966666666668,0.00016238626972487496
2,air,5H..01A,bulk,3,390.0,390.1567974322891,390.2,0.00011623133333333333,0.00011652687689351925
3,air,5H..01A,bulk,3,356.0,355.95567054453244,356.0,9.947773333333334e-05,9.948951240847533e-05
4,air,5H..01A,bulk,3,314.0,313.8323798558945,313.8,9.402863333333334e-05,9.43828971110658e-05
5,air,5H..01A,bulk,3,309.0,309.4459127942259,309.4,4.4192533333333334e-05,4.4962524398582725e-05
6,air,5H..01A,bulk,3,379.0,378.8916520567129,378.9,4.1267200000000004e-05,4.130436244164794e-05
7,air,5H..01A,bulk,3,228.0,227.9345402495875,227.9,3.594263666666666e-05,3.6004278095287795e-05
8,air,5H..01A,bulk,3,254.0,254.40918619783847,254.4,2.9590228666666666e-05,2.976444934037089e-05
9,air,5H..01A,bulk,3,241.0,241.24638042187266,241.2,2.5998258000000003e-05,2.6631383207305307e-05
10,air,5H..01A,bulk,3,428.0,428.287764195821,428.3,2.53011e-05,2.5644899078852292e-05
1,air,5H..5A,bulk,4,201.0,200.97041368358757,201.0,0.00061051745,0.0006107337890288117
2,air,5H..5A,bulk,4,335.0,335.4510262513941,335.5,0.00017349375,0.0001765488326920996
3,air,5H..5A,bulk,4,215.0,214.62431647707942,214.6,0.00016205065,0.0001672504586384904
4,air,5H..5A,bulk,4,231.0,231.2013408768019,231.2,0.00012923094249999998,0.00013008135061735594
5,air,5H..5A,bulk,4,390.0,390.1363460192711,390.1,0.0001236,0.00012381584427013242
6,air,5H..5A,bulk,4,209.0,208.7944500649742,208.8,0.0001198653,0.00012169898039481238
7,air,5H..5A,bulk,4,355.0,355.4797139938894,355.5,0.00011347075000000001,0.00011671798499424917
8,air,5H..5A,bulk,4,314.0,313.799962393352,313.8,0.00011252197500000001,0.00011326148402613663
9,air,5H..5A,bulk,4,222.0,222.0899580032664,222.1,0.00011128263750000001,0.00011165008704433463
10,air,5H..5A,bulk,4,309.0,309.0187028033332,309.0,5.6952624999999996e-05,5.695508640581117e-05
1,air,5H..9A,bulk,4,201.0,201.34981714500935,201.3,0.00030841464999999997,0.0003192908913779864
2,air,5H..9A,bulk,4,335.0,335.4155236076207,335.4,0.0002852455,0.00028985726666985484
3,air,5H..9A,bulk,4,356.0,355.85628756208894,355.9,0.000172024,0.00017230622428197523
4,air,5H..9A,bulk,4,314.0,313.83756821679293,313.8,0.0001597885,0.00016025612689107212
5,air,5H..9A,bulk,4,208.0,207.78081383374243,207.8,0.000157825675,0.00015834933979335636
6,air,5H..9A,bulk,4,390.0,390.1042807005015,390.1,0.000106595375,0.00010670196160749129
7,air,5H..9A,bulk,4,379.0,378.69356232396046,378.7,7.6314275e-05,7.680602703015349e-05
8,air,5H..9A,bulk,4,228.0,227.91853636281766,227.9,5.7998835e-05,5.8159570546121067e-05
9,air,5H..9A,bulk,4,236.0,235.54936384885008,235.5,5.2446906e-05,5.614791283232396e-05
10,air,5H..9A,bulk,4,374.0,374.32148550646735,374.3,4.226015e-05,4.2680743460257975e-05
