dataset,param_set,channel,candidate_label,candidate_rows,matched_peak_count,score
air,100H,bulk,Ar II,12,9,7.474230115320505
air,100H,bulk,O II,12,8,5.977945086046498
air,100H,bulk,He I,2,2,1.2667240554835613
air,100H,bulk,C I,2,1,0.7836314369446832
air,100H,bulk,N I,1,1,0.46229947760156903
air,5H..01A,bulk,Ar II,18,10,9.91975420098658
air,5H..01A,bulk,O II,10,7,5.079272153991345
air,5H..01A,bulk,He I,1,1,0.9474094887607519
air,5H..01A,bulk,N I,1,1,0.42317295078498024
air,5H..5A,bulk,Ar II,17,9,8.876145235432794
air,5H..5A,bulk,O II,7,5,4.16650538067922
air,5H..5A,bulk,He I,4,2,2.7007651826808274
air,5H..5A,bulk,N II,1,1,0.46917519001595526
air,5H..5A,bulk,N I,1,1,0.46229947760156903
air,5H..9A,bulk,Ar II,19,10,9.593966931370417
air,5H..9A,bulk,O II,7,6,3.5953485683946043
air,5H..9A,bulk,C I,1,1,0.9853187506158131
air,5H..9A,bulk,He I,1,1,0.9474094887607519
air,5H..9A,bulk,N II,1,1,0.9047317470370038
air,5H..9A,bulk,N I,1,1,0.46229947760156903
