dataset,param_set,channel,species,targets_total,targets_matched,match_rate,mean_delta_nm,mean_matched_peak_intensity
air,100H,bulk,N2,7,4,0.5714285714285714,0.6999999999999886,6.560552777424817e-05
air,100H,bulk,N2+,2,2,1.0,0.6000000000000227,4.2947335353909105e-05
air,100H,bulk,O I,2,0,0.0,,
air,100H,bulk,O II,2,0,0.0,,
air,100H,bulk,OH,2,1,0.5,0.19999999999998863,2.1598236092779213e-05
air,5H..01A,bulk,N2,7,4,0.5714285714285714,0.4750000000000085,9.9390760421516e-05
air,5H..01A,bulk,N2+,2,1,0.5,0.19999999999998863,0.00011652687689351925
air,5H..01A,bulk,O I,2,0,0.0,,
air,5H..01A,bulk,O II,2,0,0.0,,
air,5H..01A,bulk,OH,2,1,0.5,1.3999999999999773,4.4962524398582725e-05
air,5H..5A,bulk,N2,7,3,0.42857142857142855,0.7333333333333295,0.0001355094339041618
air,5H..5A,bulk,N2+,2,1,0.5,0.10000000000002274,0.00012381584427013242
air,5H..5A,bulk,O I,2,0,0.0,,
air,5H..5A,bulk,O II,2,0,0.0,,
air,5H..5A,bulk,OH,2,1,0.5,1.0,5.695508640581117e-05
air,5H..9A,bulk,N2,7,5,0.7142857142857143,0.5000000000000113,0.00014838127766666272
air,5H..9A,bulk,N2+,2,1,0.5,0.10000000000002274,0.00010670196160749129
air,5H..9A,bulk,O I,2,0,0.0,,
air,5H..9A,bulk,O II,2,0,0.0,,
air,5H..9A,bulk,OH,2,0,0.0,,
