dataset,param_set,channel,species,target_wavelength_nm,target_rank,matched,matched_peak_rank,matched_peak_wavelength_nm_0p1,matched_peak_intensity,delta_nm
air,100H,bulk,O II,247.0,1,False,,,,60.80000000000001
air,100H,bulk,OH,282.0,2,False,,,,25.80000000000001
air,100H,bulk,O I,297.0,3,False,,,,10.800000000000011
air,100H,bulk,OH,308.0,4,True,5.0,307.8,2.1598236092779213e-05,0.19999999999998863
air,100H,bulk,N2,315.0,5,True,4.0,313.6,5.1434571556171324e-05,1.3999999999999773
air,100H,bulk,N2+,328.0,6,True,8.0,329.1,2.0456390397915927e-06,1.1000000000000227
air,100H,bulk,N2,336.0,7,True,1.0,335.3,0.0001307551932382723,0.6999999999999886
air,100H,bulk,N2,356.0,8,True,3.0,355.7,6.55272275094375e-05,0.30000000000001137
air,100H,bulk,O II,372.0,9,False,,,,6.600000000000023
air,100H,bulk,N2,374.0,10,False,,,,4.600000000000023
air,100H,bulk,N2,379.0,11,True,6.0,378.6,1.4705118793111523e-05,0.39999999999997726
air,100H,bulk,N2+,390.0,12,True,2.0,390.1,8.384903166802662e-05,0.10000000000002274
air,100H,bulk,N2,401.0,13,False,,,,7.199999999999989
air,100H,bulk,N2,405.0,14,False,,,,3.1999999999999886
air,100H,bulk,O I,436.0,15,False,,,,7.0
air,5H..01A,bulk,O II,247.0,1,False,,,,5.800000000000011
air,5H..01A,bulk,OH,282.0,2,False,,,,27.399999999999977
air,5H..01A,bulk,O I,297.0,3,False,,,,12.399999999999977
air,5H..01A,bulk,OH,308.0,4,True,5.0,309.4,4.4962524398582725e-05,1.3999999999999773
air,5H..01A,bulk,N2,315.0,5,True,4.0,313.8,9.43828971110658e-05,1.1999999999999886
air,5H..01A,bulk,N2+,328.0,6,False,,,,7.399999999999977
air,5H..01A,bulk,N2,336.0,7,True,1.0,335.4,0.00016238626972487496,0.6000000000000227
air,5H..01A,bulk,N2,356.0,8,True,3.0,356.0,9.948951240847533e-05,0.0
air,5H..01A,bulk,O II,372.0,9,False,,,,6.899999999999977
air,5H..01A,bulk,N2,374.0,10,False,,,,4.899999999999977
air,5H..01A,bulk,N2,379.0,11,True,6.0,378.9,4.130436244164794e-05,0.10000000000002274
air,5H..01A,bulk,N2+,390.0,12,True,2.0,390.2,0.00011652687689351925,0.19999999999998863
air,5H..01A,bulk,N2,401.0,13,False,,,,10.800000000000011
air,5H..01A,bulk,N2,405.0,14,False,,,,14.800000000000011
air,5H..01A,bulk,O I,436.0,15,False,,,,7.699999999999989
air,5H..5A,bulk,O II,247.0,1,False,,,,15.800000000000011
air,5H..5A,bulk,OH,282.0,2,False,,,,27.0
air,5H..5A,bulk,O I,297.0,3,False,,,,12.0
air,5H..5A,bulk,OH,308.0,4,True,10.0,309.0,5.695508640581117e-05,1.0
air,5H..5A,bulk,N2,315.0,5,True,8.0,313.8,0.00011326148402613663,1.1999999999999886
air,5H..5A,bulk,N2+,328.0,6,False,,,,7.5
air,5H..5A,bulk,N2,336.0,7,True,2.0,335.5,0.0001765488326920996,0.5
air,5H..5A,bulk,N2,356.0,8,True,7.0,355.5,0.00011671798499424917,0.5
air,5H..5A,bulk,O II,372.0,9,False,,,,16.5
air,5H..5A,bulk,N2,374.0,10,False,,,,16.100000000000023
air,5H..5A,bulk,N2,379.0,11,False,,,,11.100000000000023
air,5H..5A,bulk,N2+,390.0,12,True,5.0,390.1,0.00012381584427013242,0.10000000000002274
air,5H..5A,bulk,N2,401.0,13,False,,,,10.899999999999977
air,5H..5A,bulk,N2,405.0,14,False,,,,14.899999999999977
air,5H..5A,bulk,O I,436.0,15,False,,,,45.89999999999998
air,5H..9A,bulk,O II,247.0,1,False,,,,11.5
air,5H..9A,bulk,OH,282.0,2,False,,,,31.80000000000001
air,5H..9A,bulk,O I,297.0,3,False,,,,16.80000000000001
air,5H..9A,bulk,OH,308.0,4,False,,,,5.800000000000011
air,5H..9A,bulk,N2,315.0,5,True,4.0,313.8,0.00016025612689107212,1.1999999999999886
air,5H..9A,bulk,N2+,328.0,6,False,,,,7.399999999999977
air,5H..9A,bulk,N2,336.0,7,True,2.0,335.4,0.00028985726666985484,0.6000000000000227
air,5H..9A,bulk,N2,356.0,8,True,3.0,355.9,0.00017230622428197523,0.10000000000002274
air,5H..9A,bulk,O II,372.0,9,False,,,,2.3000000000000114
air,5H..9A,bulk,N2,374.0,10,True,10.0,374.3,4.2680743460257975e-05,0.30000000000001137
air,5H..9A,bulk,N2,379.0,11,True,7.0,378.7,7.680602703015349e-05,0.30000000000001137
air,5H..9A,bulk,N2+,390.0,12,True,6.0,390.1,0.00010670196160749129,0.10000000000002274
air,5H..9A,bulk,N2,401.0,13,False,,,,10.899999999999977
air,5H..9A,bulk,N2,405.0,14,False,,,,14.899999999999977
air,5H..9A,bulk,O I,436.0,15,False,,,,45.89999999999998
