peak_rank,dataset,param_set,channel,sample_id,trial,peak_wavelength_nm_grid,peak_wavelength_nm_refined,peak_wavelength_nm_0p1,peak_intensity,peak_intensity_refined
1,air,100H,bulk,air__100H.1__bulk,1.0,336.0,335.50337734111145,335.5,0.00010398,0.0001071931486030089
2,air,100H,bulk,air__100H.1__bulk,1.0,390.0,389.94530678814465,389.9,6.29047e-05,6.29366134891176e-05
3,air,100H,bulk,air__100H.1__bulk,1.0,356.0,355.8186110427873,355.8,4.19776e-05,4.228526287977628e-05
4,air,100H,bulk,air__100H.1__bulk,1.0,316.0,316.083610611102,316.1,2.11641e-05,2.1221772509272895e-05
5,air,100H,bulk,air__100H.1__bulk,1.0,378.0,377.685685766341,377.7,8.22067e-06,8.481218426634861e-06
6,air,100H,bulk,air__100H.1__bulk,1.0,312.0,312.17573287931816,312.2,7.61566e-06,7.721589582991995e-06
7,air,100H,bulk,air__100H.1__bulk,1.0,427.0,427.39964657500855,427.4,2.35687e-06,2.497753910180241e-06
8,air,100H,bulk,air__100H.1__bulk,1.0,329.0,329.05644010164286,329.1,1.32848e-06,1.3308712401163797e-06
9,air,100H,bulk,air__100H.1__bulk,1.0,384.0,384.1871190747168,384.2,1.19143e-06,1.2057202369563526e-06
10,air,100H,bulk,air__100H.1__bulk,1.0,321.0,320.9984533516618,321.0,7.43389e-07,7.433906072382869e-07
1,air,100H,bulk,air__100H.2__bulk,2.0,335.0,335.1062189158691,335.1,0.000150343,0.00015047797768734066
2,air,100H,bulk,air__100H.2__bulk,2.0,390.0,390.18354765389046,390.2,9.19203e-05,9.224490402590528e-05
3,air,100H,bulk,air__100H.2__bulk,2.0,313.0,313.49206406334355,313.5,8.1911e-05,8.527474993701637e-05
4,air,100H,bulk,air__100H.2__bulk,2.0,355.0,355.43621414200413,355.4,7.92705e-05,8.161600163084924e-05
5,air,100H,bulk,air__100H.2__bulk,2.0,308.0,307.82494193021415,307.8,2.85424e-05,2.878251840142175e-05
6,air,100H,bulk,air__100H.2__bulk,2.0,378.0,377.8530494821634,377.9,2.27565e-05,2.287378488204833e-05
7,air,100H,bulk,air__100H.2__bulk,2.0,429.0,429.34808960613094,429.3,1.9452e-05,1.9945286483088316e-05
8,air,100H,bulk,air__100H.2__bulk,2.0,329.0,329.0683513141699,329.1,3.0921e-06,3.1004880732749258e-06
9,air,100H,bulk,air__100H.2__bulk,2.0,350.0,350.18714243268295,350.2,8.20821e-07,8.356139075194639e-07
10,air,100H,bulk,air__100H.2__bulk,2.0,302.0,302.0447891848708,302.0,6.25245e-07,6.259531170128079e-07
1,air,100H,bulk,air__100H.3__bulk,3.0,335.0,335.37770893644654,335.4,0.000132959,0.00013559550280363086
2,air,100H,bulk,air__100H.3__bulk,3.0,390.0,390.17572288835083,390.2,9.64289e-05,9.67470770408646e-05
3,air,100H,bulk,air__100H.3__bulk,3.0,356.0,355.801021906384,355.8,7.46465e-05,7.491615511246843e-05
4,air,100H,bulk,air__100H.3__bulk,3.0,314.0,313.89452161936987,313.9,6.66609e-05,6.675905027013585e-05
5,air,100H,bulk,air__100H.3__bulk,3.0,308.0,307.7691896608136,307.8,3.54452e-05,3.5567315980205034e-05
6,air,100H,bulk,air__100H.3__bulk,3.0,380.0,379.72066152360907,379.7,2.63037e-05,2.6752282675774285e-05
7,air,100H,bulk,air__100H.3__bulk,3.0,428.0,428.12819717455073,428.1,7.15136e-06,7.175731564853838e-06
8,air,100H,bulk,air__100H.3__bulk,3.0,375.0,375.45319599055875,375.5,6.51776e-06,6.882794641525371e-06
9,air,100H,bulk,air__100H.3__bulk,3.0,408.0,408.2110565667513,408.2,3.48314e-06,3.546023776422138e-06
10,air,100H,bulk,air__100H.3__bulk,3.0,329.0,329.0610565589652,329.1,1.70202e-06,1.7056429740958768e-06
1,air,5H..01A,bulk,air__5H..01A.1__bulk,1.0,335.0,335.2090372120496,335.2,0.00015347,0.0001538398913467218
2,air,5H..01A,bulk,air__5H..01A.1__bulk,1.0,390.0,390.0518403317781,390.1,0.0001185,0.00011853628823224468
3,air,5H..01A,bulk,air__5H..01A.1__bulk,1.0,356.0,356.2030203081562,356.2,0.000100353,0.00010057168840043821
4,air,5H..01A,bulk,air__5H..01A.1__bulk,1.0,313.0,313.41472305638973,313.4,7.69002e-05,7.793113930972639e-05
5,air,5H..01A,bulk,air__5H..01A.1__bulk,1.0,241.0,241.25014387661142,241.3,7.61449e-05,7.810195064744476e-05
6,air,5H..01A,bulk,air__5H..01A.1__bulk,1.0,309.0,308.70044473237266,308.7,5.98631e-05,6.063184119443034e-05
7,air,5H..01A,bulk,air__5H..01A.1__bulk,1.0,379.0,379.327631284724,379.3,4.65166e-05,4.6828627844789036e-05
8,air,5H..01A,bulk,air__5H..01A.1__bulk,1.0,428.0,427.9823300114,428.0,3.00483e-05,3.0049998085904462e-05
9,air,5H..01A,bulk,air__5H..01A.1__bulk,1.0,372.0,371.9914428148577,372.0,2.05992e-05,2.0599693535653085e-05
10,air,5H..01A,bulk,air__5H..01A.1__bulk,1.0,407.0,406.50850309541454,406.5,9.39061e-06,9.894169467366224e-06
1,air,5H..01A,bulk,air__5H..01A.2__bulk,2.0,335.0,335.32929725450686,335.3,0.0001644,0.00016590678191230975
2,air,5H..01A,bulk,air__5H..01A.2__bulk,2.0,390.0,390.17952522255194,390.2,0.000117544,0.0001179295752967359
3,air,5H..01A,bulk,air__5H..01A.2__bulk,2.0,313.0,313.41554685848405,313.4,0.000101821,0.00010341380149724091
4,air,5H..01A,bulk,air__5H..01A.2__bulk,2.0,356.0,356.36780875207353,356.4,0.000100351,0.0001017333448281367
5,air,5H..01A,bulk,air__5H..01A.2__bulk,2.0,255.0,254.84036476360123,254.8,6.79509e-05,6.866692389846214e-05
6,air,5H..01A,bulk,air__5H..01A.2__bulk,2.0,318.0,317.59872167200336,317.6,4.0365e-05,4.198679645847295e-05
7,air,5H..01A,bulk,air__5H..01A.2__bulk,2.0,379.0,378.62736151531595,378.6,3.65737e-05,3.699596461488186e-05
8,air,5H..01A,bulk,air__5H..01A.2__bulk,2.0,428.0,428.1449227872287,428.1,2.79014e-05,2.801516801104424e-05
9,air,5H..01A,bulk,air__5H..01A.2__bulk,2.0,374.0,374.0384177486646,374.0,2.36447e-05,2.36541632519398e-05
10,air,5H..01A,bulk,air__5H..01A.2__bulk,2.0,397.0,397.1061966929202,397.1,1.46415e-05,1.469606970164052e-05
1,air,5H..01A,bulk,air__5H..01A.3__bulk,3.0,336.0,335.56213823629554,335.6,0.000165454,0.00016826945114061968
2,air,5H..01A,bulk,air__5H..01A.3__bulk,3.0,390.0,390.2648807417369,390.3,0.00011265,0.00011339348713196263
3,air,5H..01A,bulk,air__5H..01A.3__bulk,3.0,355.0,355.2104159884782,355.2,0.000106536,0.00010720924173633511
4,air,5H..01A,bulk,air__5H..01A.3__bulk,3.0,314.0,314.1294894528084,314.1,0.000105945,0.00010631426183533735
5,air,5H..01A,bulk,air__5H..01A.3__bulk,3.0,228.0,227.93605375681574,227.9,0.000103674,0.00010385053639355882
6,air,5H..01A,bulk,air__5H..01A.3__bulk,3.0,253.0,252.90963618664102,252.9,7.85001e-05,7.877019743812997e-05
7,air,5H..01A,bulk,air__5H..01A.3__bulk,3.0,310.0,310.258180010954,310.3,4.25122e-05,4.267649930447086e-05
8,air,5H..01A,bulk,air__5H..01A.3__bulk,3.0,379.0,378.7610202442838,378.8,4.07113e-05,4.091399665430455e-05
9,air,5H..01A,bulk,air__5H..01A.3__bulk,3.0,289.0,289.26286313200063,289.3,3.35254e-05,3.444671556292726e-05
10,air,5H..01A,bulk,air__5H..01A.3__bulk,3.0,284.0,283.61895208740356,283.6,2.37908e-05,2.507094475166448e-05
1,air,5H..5A,bulk,air__5H..5A.1__bulk,1.0,201.0,200.96707304130487,201.0,0.002368221,0.0023692885331595944
2,air,5H..5A,bulk,air__5H..5A.1__bulk,1.0,335.0,335.24903260373463,335.2,0.000194677,0.00019623961733028397
3,air,5H..5A,bulk,air__5H..5A.1__bulk,1.0,230.0,229.86925491543423,229.9,0.000153551,0.00015464559784798463
4,air,5H..5A,bulk,air__5H..5A.1__bulk,1.0,239.0,239.36360082378604,239.4,0.000136876,0.00014403685461386877
5,air,5H..5A,bulk,air__5H..5A.1__bulk,1.0,356.0,355.59252934898615,355.6,0.000127562,0.000129117722945571
6,air,5H..5A,bulk,air__5H..5A.1__bulk,1.0,390.0,390.04299806087175,390.0,0.000126812,0.0001268339290110446
7,air,5H..5A,bulk,air__5H..5A.1__bulk,1.0,314.0,313.6360591799652,313.6,0.00012501,0.0001293654162711642
8,air,5H..5A,bulk,air__5H..5A.1__bulk,1.0,214.0,214.3711169010386,214.4,0.000124363,0.00013104992349175106
9,air,5H..5A,bulk,air__5H..5A.1__bulk,1.0,318.0,318.3216546171178,318.3,5.81359e-05,6.070965962569519e-05
10,air,5H..5A,bulk,air__5H..5A.1__bulk,1.0,206.0,205.88880244242011,205.9,5.60009e-05,5.648253164910916e-05
1,air,5H..5A,bulk,air__5H..5A.2__bulk,2.0,209.0,208.74381450979132,208.7,0.000439162,0.00045039451686457215
2,air,5H..5A,bulk,air__5H..5A.2__bulk,2.0,232.0,231.77233466844683,231.8,0.000341633,0.000348912086729417
3,air,5H..5A,bulk,air__5H..5A.2__bulk,2.0,336.0,335.7102420768393,335.7,0.000168481,0.00016936715216850633
4,air,5H..5A,bulk,air__5H..5A.2__bulk,2.0,390.0,390.05295224075894,390.1,0.000125198,0.0001252322865758914
5,air,5H..5A,bulk,air__5H..5A.2__bulk,2.0,355.0,355.2955172794524,355.3,0.000110917,0.00011249890399690846
6,air,5H..5A,bulk,air__5H..5A.2__bulk,2.0,313.0,312.8085734728296,312.8,8.61397e-05,8.664161078291438e-05
7,air,5H..5A,bulk,air__5H..5A.2__bulk,2.0,236.0,236.05930486675396,236.1,4.71204e-05,4.72360311465752e-05
8,air,5H..5A,bulk,air__5H..5A.2__bulk,2.0,379.0,378.6460552740766,378.6,4.21331e-05,4.2747539195584804e-05
9,air,5H..5A,bulk,air__5H..5A.2__bulk,2.0,308.0,308.1861584733671,308.2,4.19355e-05,4.227309839145118e-05
10,air,5H..5A,bulk,air__5H..5A.2__bulk,2.0,204.0,203.9215774332292,203.9,4.17358e-05,4.1897736718689176e-05
1,air,5H..5A,bulk,air__5H..5A.3__bulk,3.0,222.0,222.0933349276768,222.1,0.000437741,0.00043936197102269523
2,air,5H..5A,bulk,air__5H..5A.3__bulk,3.0,230.0,230.18608765642085,230.2,0.000218191,0.00022047122509795286
3,air,5H..5A,bulk,air__5H..5A.3__bulk,3.0,336.0,335.5168056279312,335.5,0.000170731,0.0001734192518890047
4,air,5H..5A,bulk,air__5H..5A.3__bulk,3.0,390.0,390.09637317019883,390.1,0.000119652,0.00011975827551343675
5,air,5H..5A,bulk,air__5H..5A.3__bulk,3.0,355.0,355.4387304916542,355.4,0.00011552,0.00011738297031844905
6,air,5H..5A,bulk,air__5H..5A.3__bulk,3.0,314.0,313.9932371385344,314.0,0.000108744,0.0001087448555019754
7,air,5H..5A,bulk,air__5H..5A.3__bulk,3.0,253.0,252.86537946119128,252.9,7.80983e-05,7.868657156151323e-05
8,air,5H..5A,bulk,air__5H..5A.3__bulk,3.0,309.0,309.3947662474966,309.4,7.70924e-05,7.890546268318993e-05
9,air,5H..5A,bulk,air__5H..5A.3__bulk,3.0,278.0,278.0638863483321,278.1,6.68118e-05,6.68524093573173e-05
10,air,5H..5A,bulk,air__5H..5A.3__bulk,3.0,379.0,379.1963660750491,379.2,5.42417e-05,5.455074583806419e-05
1,air,5H..5A,bulk,air__5H..5A.4__bulk,4.0,215.0,214.76254928784098,214.8,0.000530251,0.000537257695614388
2,air,5H..5A,bulk,air__5H..5A.4__bulk,4.0,336.0,335.57947508714375,335.6,0.000166849,0.00016900513635944228
