dataset,param_set,channel,group_label,line_name,wavelength_nm,line_area,line_peak,line_points
diameter,0.5mm,Base,diameter | 0.5mm | Base,OH_308,308.0,0.0,0.0,1.0
diameter,0.5mm,Base,diameter | 0.5mm | Base,N2_337,337.0,0.0,0.0,1.0
diameter,0.5mm,Base,diameter | 0.5mm | Base,N2CB_349.9,349.9,6.365e-07,6.365e-07,1.0
diameter,0.5mm,Base,diameter | 0.5mm | Base,N2CB_353.6,353.6,0.0,0.0,2.0
diameter,0.5mm,Base,diameter | 0.5mm | Base,N2CB_357.6,357.6,0.0,0.0,2.0
diameter,0.5mm,Base,diameter | 0.5mm | Base,N2CB_370.9,370.9,2.4000000000000215e-09,2.4000000000000215e-09,1.0
diameter,0.5mm,Base,diameter | 0.5mm | Base,N2CB_375.4,375.4,0.0,0.0,2.0
diameter,0.5mm,Base,diameter | 0.5mm | Base,N2_379,379.0,3.450000000000001e-06,3.450000000000001e-06,1.0
diameter,0.5mm,Base,diameter | 0.5mm | Base,N2CB_380.4,380.4,0.0,0.0,2.0
diameter,0.5mm,Base,diameter | 0.5mm | Base,N2plus_391,391.44,0.0,0.0,2.0
diameter,0.5mm,Base,diameter | 0.5mm | Base,N2CB_394.2,394.2,4.4225e-06,8.845e-06,2.0
diameter,0.5mm,Base,diameter | 0.5mm | Base,N2CB_399.7,399.7,2.225e-09,4.45e-09,2.0
diameter,0.5mm,Base,diameter | 0.5mm | Base,N2CB_405.8,405.8,1.000000000000009e-10,2.000000000000018e-10,2.0
diameter,0.5mm,Base,diameter | 0.5mm | Base,N2plus_428,428.0,5.149999999999998e-06,5.149999999999998e-06,1.0
diameter,0.5mm,Base,diameter | 0.5mm | Base,Hbeta_486,486.1,0.0,0.0,1.0
diameter,0.5mm,Base,diameter | 0.5mm | Base,N_672,672.0,,,0.0
diameter,0.5mm,Base,diameter | 0.5mm | Base,Ar_750,750.4,,,0.0
diameter,0.5mm,Base,diameter | 0.5mm | Base,O_777,777.2,,,0.0
diameter,0.5mm,Middle,diameter | 0.5mm | Middle,OH_308,308.0,0.0,0.0,1.0
diameter,0.5mm,Middle,diameter | 0.5mm | Middle,N2_337,337.0,6.499999999999995e-06,6.499999999999995e-06,1.0
diameter,0.5mm,Middle,diameter | 0.5mm | Middle,N2CB_349.9,349.9,0.0,0.0,1.0
diameter,0.5mm,Middle,diameter | 0.5mm | Middle,N2CB_353.6,353.6,0.0,0.0,2.0
diameter,0.5mm,Middle,diameter | 0.5mm | Middle,N2CB_357.6,357.6,0.0,0.0,2.0
diameter,0.5mm,Middle,diameter | 0.5mm | Middle,N2CB_370.9,370.9,5.555e-07,5.555e-07,1.0
diameter,0.5mm,Middle,diameter | 0.5mm | Middle,N2CB_375.4,375.4,0.0,0.0,2.0
diameter,0.5mm,Middle,diameter | 0.5mm | Middle,N2_379,379.0,5.750000000000004e-06,5.750000000000004e-06,1.0
diameter,0.5mm,Middle,diameter | 0.5mm | Middle,N2CB_380.4,380.4,0.0,0.0,2.0
diameter,0.5mm,Middle,diameter | 0.5mm | Middle,N2plus_391,391.44,0.0,0.0,2.0
diameter,0.5mm,Middle,diameter | 0.5mm | Middle,N2CB_394.2,394.2,1.1350000000000001e-05,2.2700000000000003e-05,2.0
diameter,0.5mm,Middle,diameter | 0.5mm | Middle,N2CB_399.7,399.7,2.0775e-06,4.155e-06,2.0
diameter,0.5mm,Middle,diameter | 0.5mm | Middle,N2CB_405.8,405.8,1.2925e-06,2.585e-06,2.0
diameter,0.5mm,Middle,diameter | 0.5mm | Middle,N2plus_428,428.0,7.25e-06,7.25e-06,1.0
diameter,0.5mm,Middle,diameter | 0.5mm | Middle,Hbeta_486,486.1,2.449999999999992e-09,2.449999999999992e-09,1.0
diameter,0.5mm,Middle,diameter | 0.5mm | Middle,N_672,672.0,,,0.0
diameter,0.5mm,Middle,diameter | 0.5mm | Middle,Ar_750,750.4,,,0.0
diameter,0.5mm,Middle,diameter | 0.5mm | Middle,O_777,777.2,,,0.0
diameter,0.5mm,Tip,diameter | 0.5mm | Tip,OH_308,308.0,5.9499999999999706e-09,5.9499999999999706e-09,1.0
diameter,0.5mm,Tip,diameter | 0.5mm | Tip,N2_337,337.0,5.050000000000001e-06,5.050000000000001e-06,1.0
diameter,0.5mm,Tip,diameter | 0.5mm | Tip,N2CB_349.9,349.9,2.805e-07,2.805e-07,1.0
diameter,0.5mm,Tip,diameter | 0.5mm | Tip,N2CB_353.6,353.6,0.0,0.0,2.0
diameter,0.5mm,Tip,diameter | 0.5mm | Tip,N2CB_357.6,357.6,0.0,0.0,2.0
diameter,0.5mm,Tip,diameter | 0.5mm | Tip,N2CB_370.9,370.9,0.0,0.0,1.0
diameter,0.5mm,Tip,diameter | 0.5mm | Tip,N2CB_375.4,375.4,0.0,0.0,2.0
diameter,0.5mm,Tip,diameter | 0.5mm | Tip,N2_379,379.0,0.0,0.0,1.0
diameter,0.5mm,Tip,diameter | 0.5mm | Tip,N2CB_380.4,380.4,0.0,0.0,2.0
diameter,0.5mm,Tip,diameter | 0.5mm | Tip,N2plus_391,391.44,0.0,0.0,2.0
diameter,0.5mm,Tip,diameter | 0.5mm | Tip,N2CB_394.2,394.2,1.7474999999999998e-06,3.4949999999999996e-06,2.0
diameter,0.5mm,Tip,diameter | 0.5mm | Tip,N2CB_399.7,399.7,3.999999999999996e-09,7.999999999999992e-09,2.0
diameter,0.5mm,Tip,diameter | 0.5mm | Tip,N2CB_405.8,405.8,4.2499999999999884e-10,8.499999999999977e-10,2.0
diameter,0.5mm,Tip,diameter | 0.5mm | Tip,N2plus_428,428.0,1.685e-06,1.685e-06,1.0
diameter,0.5mm,Tip,diameter | 0.5mm | Tip,Hbeta_486,486.1,0.0,0.0,1.0
diameter,0.5mm,Tip,diameter | 0.5mm | Tip,N_672,672.0,,,0.0
diameter,0.5mm,Tip,diameter | 0.5mm | Tip,Ar_750,750.4,,,0.0
diameter,0.5mm,Tip,diameter | 0.5mm | Tip,O_777,777.2,,,0.0
diameter,1mm,0.5 cm below,diameter | 1mm | 0.5 cm below,OH_308,308.0,0.0,0.0,1.0
diameter,1mm,0.5 cm below,diameter | 1mm | 0.5 cm below,N2_337,337.0,0.0,0.0,1.0
diameter,1mm,0.5 cm below,diameter | 1mm | 0.5 cm below,N2CB_349.9,349.9,2.6469779601696886e-23,2.6469779601696886e-23,1.0
diameter,1mm,0.5 cm below,diameter | 1mm | 0.5 cm below,N2CB_353.6,353.6,0.0,0.0,2.0
diameter,1mm,0.5 cm below,diameter | 1mm | 0.5 cm below,N2CB_357.6,357.6,0.0,0.0,2.0
diameter,1mm,0.5 cm below,diameter | 1mm | 0.5 cm below,N2CB_370.9,370.9,1.1150000000000004e-08,1.1150000000000004e-08,1.0
diameter,1mm,0.5 cm below,diameter | 1mm | 0.5 cm below,N2CB_375.4,375.4,0.0,0.0,2.0
diameter,1mm,0.5 cm below,diameter | 1mm | 0.5 cm below,N2_379,379.0,8.700000000000001e-07,8.700000000000001e-07,1.0
diameter,1mm,0.5 cm below,diameter | 1mm | 0.5 cm below,N2CB_380.4,380.4,0.0,0.0,2.0
diameter,1mm,0.5 cm below,diameter | 1mm | 0.5 cm below,N2plus_391,391.44,0.0,0.0,2.0
diameter,1mm,0.5 cm below,diameter | 1mm | 0.5 cm below,N2CB_394.2,394.2,3.9500000000000003e-07,7.900000000000001e-07,2.0
diameter,1mm,0.5 cm below,diameter | 1mm | 0.5 cm below,N2CB_399.7,399.7,1.1699999999999999e-08,2.3399999999999998e-08,2.0
diameter,1mm,0.5 cm below,diameter | 1mm | 0.5 cm below,N2CB_405.8,405.8,2.79e-07,5.58e-07,2.0
diameter,1mm,0.5 cm below,diameter | 1mm | 0.5 cm below,N2plus_428,428.0,0.0,0.0,1.0
diameter,1mm,0.5 cm below,diameter | 1mm | 0.5 cm below,Hbeta_486,486.1,0.0,0.0,1.0
diameter,1mm,0.5 cm below,diameter | 1mm | 0.5 cm below,N_672,672.0,,,0.0
diameter,1mm,0.5 cm below,diameter | 1mm | 0.5 cm below,Ar_750,750.4,,,0.0
diameter,1mm,0.5 cm below,diameter | 1mm | 0.5 cm below,O_777,777.2,,,0.0
diameter,1mm,Base,diameter | 1mm | Base,OH_308,308.0,7.02e-07,7.02e-07,1.0
diameter,1mm,Base,diameter | 1mm | Base,N2_337,337.0,1.2800000000000013e-05,1.2800000000000013e-05,1.0
diameter,1mm,Base,diameter | 1mm | Base,N2CB_349.9,349.9,7.52e-07,7.52e-07,1.0
diameter,1mm,Base,diameter | 1mm | Base,N2CB_353.6,353.6,0.0,0.0,2.0
diameter,1mm,Base,diameter | 1mm | Base,N2CB_357.6,357.6,0.0,0.0,2.0
diameter,1mm,Base,diameter | 1mm | Base,N2CB_370.9,370.9,0.0,0.0,1.0
diameter,1mm,Base,diameter | 1mm | Base,N2CB_375.4,375.4,0.0,0.0,2.0
diameter,1mm,Base,diameter | 1mm | Base,N2_379,379.0,1.7249999999999996e-06,1.7249999999999996e-06,1.0
diameter,1mm,Base,diameter | 1mm | Base,N2CB_380.4,380.4,0.0,0.0,2.0
diameter,1mm,Base,diameter | 1mm | Base,N2plus_391,391.44,0.0,0.0,2.0
diameter,1mm,Base,diameter | 1mm | Base,N2CB_394.2,394.2,2.89625e-07,5.7925e-07,2.0
diameter,1mm,Base,diameter | 1mm | Base,N2CB_399.7,399.7,2.999999999999994e-10,5.999999999999988e-10,2.0
diameter,1mm,Base,diameter | 1mm | Base,N2CB_405.8,405.8,7.499999999999902e-11,1.4999999999999803e-10,2.0
diameter,1mm,Base,diameter | 1mm | Base,N2plus_428,428.0,0.0,0.0,1.0
diameter,1mm,Base,diameter | 1mm | Base,Hbeta_486,486.1,0.0,0.0,1.0
diameter,1mm,Base,diameter | 1mm | Base,N_672,672.0,,,0.0
diameter,1mm,Base,diameter | 1mm | Base,Ar_750,750.4,,,0.0
diameter,1mm,Base,diameter | 1mm | Base,O_777,777.2,,,0.0
