dataset,param_set,channel,wavelength_nm,irradiance_mean,irradiance_std,n_curves
diameter,0.5mm,Base,200.0,3.16e-05,,1
diameter,0.5mm,Base,201.0,2.65e-05,,1
diameter,0.5mm,Base,202.0,2.28e-05,,1
diameter,0.5mm,Base,203.0,2e-05,,1
diameter,0.5mm,Base,204.0,1.78e-05,,1
diameter,0.5mm,Base,205.0,1.6e-05,,1
diameter,0.5mm,Base,206.0,1.45e-05,,1
diameter,0.5mm,Base,207.0,1.32e-05,,1
diameter,0.5mm,Base,208.0,1.22e-05,,1
diameter,0.5mm,Base,209.0,1.13e-05,,1
diameter,0.5mm,Base,210.0,1.05e-05,,1
diameter,0.5mm,Base,211.0,9.37e-06,,1
diameter,0.5mm,Base,212.0,8.44e-06,,1
diameter,0.5mm,Base,213.0,7.68e-06,,1
diameter,0.5mm,Base,214.0,7.05e-06,,1
diameter,0.5mm,Base,215.0,6.51e-06,,1
diameter,0.5mm,Base,216.0,5.64e-06,,1
diameter,0.5mm,Base,217.0,4.97e-06,,1
diameter,0.5mm,Base,218.0,4.44e-06,,1
diameter,0.5mm,Base,219.0,4.02e-06,,1
diameter,0.5mm,Base,220.0,3.67e-06,,1
diameter,0.5mm,Base,221.0,3.29e-06,,1
diameter,0.5mm,Base,222.0,2.98e-06,,1
diameter,0.5mm,Base,223.0,2.73e-06,,1
diameter,0.5mm,Base,224.0,2.51e-06,,1
diameter,0.5mm,Base,225.0,2.33e-06,,1
diameter,0.5mm,Base,226.0,2.24e-06,,1
diameter,0.5mm,Base,227.0,2.15e-06,,1
diameter,0.5mm,Base,228.0,2.08e-06,,1
diameter,0.5mm,Base,229.0,2e-06,,1
diameter,0.5mm,Base,230.0,1.94e-06,,1
diameter,0.5mm,Base,231.0,1.84e-06,,1
diameter,0.5mm,Base,232.0,1.76e-06,,1
diameter,0.5mm,Base,233.0,1.68e-06,,1
diameter,0.5mm,Base,234.0,1.61e-06,,1
diameter,0.5mm,Base,235.0,1.55e-06,,1
diameter,0.5mm,Base,236.0,1.4e-06,,1
diameter,0.5mm,Base,237.0,1.28e-06,,1
diameter,0.5mm,Base,238.0,1.18e-06,,1
diameter,0.5mm,Base,239.0,1.1e-06,,1
diameter,0.5mm,Base,240.0,1.02e-06,,1
diameter,0.5mm,Base,241.0,9.15e-07,,1
diameter,0.5mm,Base,242.0,8.28e-07,,1
diameter,0.5mm,Base,243.0,7.56e-07,,1
diameter,0.5mm,Base,244.0,6.96e-07,,1
diameter,0.5mm,Base,245.0,6.45e-07,,1
diameter,0.5mm,Base,246.0,6.07e-07,,1
diameter,0.5mm,Base,247.0,5.73e-07,,1
diameter,0.5mm,Base,248.0,5.43e-07,,1
diameter,0.5mm,Base,249.0,5.16e-07,,1
diameter,0.5mm,Base,250.0,4.92e-07,,1
diameter,0.5mm,Base,251.0,4.92e-07,,1
diameter,0.5mm,Base,252.0,4.93e-07,,1
diameter,0.5mm,Base,253.0,4.94e-07,,1
diameter,0.5mm,Base,254.0,4.95e-07,,1
diameter,0.5mm,Base,255.0,4.96e-07,,1
diameter,0.5mm,Base,256.0,5.01e-07,,1
diameter,0.5mm,Base,257.0,5.07e-07,,1
diameter,0.5mm,Base,258.0,5.12e-07,,1
diameter,0.5mm,Base,259.0,5.17e-07,,1
diameter,0.5mm,Base,260.0,5.23e-07,,1
diameter,0.5mm,Base,261.0,5.16e-07,,1
diameter,0.5mm,Base,262.0,5.08e-07,,1
diameter,0.5mm,Base,263.0,5.02e-07,,1
diameter,0.5mm,Base,264.0,4.95e-07,,1
diameter,0.5mm,Base,265.0,4.88e-07,,1
diameter,0.5mm,Base,266.0,4.65e-07,,1
diameter,0.5mm,Base,267.0,4.44e-07,,1
diameter,0.5mm,Base,268.0,4.25e-07,,1
diameter,0.5mm,Base,269.0,4.08e-07,,1
diameter,0.5mm,Base,270.0,3.92e-07,,1
diameter,0.5mm,Base,271.0,3.72e-07,,1
diameter,0.5mm,Base,272.0,3.54e-07,,1
diameter,0.5mm,Base,273.0,3.38e-07,,1
diameter,0.5mm,Base,274.0,3.23e-07,,1
diameter,0.5mm,Base,275.0,3.1e-07,,1
diameter,0.5mm,Base,276.0,2.93e-07,,1
diameter,0.5mm,Base,277.0,2.77e-07,,1
diameter,0.5mm,Base,278.0,2.63e-07,,1
diameter,0.5mm,Base,279.0,2.51e-07,,1
diameter,0.5mm,Base,280.0,2.39e-07,,1
diameter,0.5mm,Base,281.0,2.32e-07,,1
diameter,0.5mm,Base,282.0,2.26e-07,,1
diameter,0.5mm,Base,283.0,2.2e-07,,1
diameter,0.5mm,Base,284.0,2.14e-07,,1
diameter,0.5mm,Base,285.0,2.08e-07,,1
diameter,0.5mm,Base,286.0,2.08e-07,,1
diameter,0.5mm,Base,287.0,2.08e-07,,1
diameter,0.5mm,Base,288.0,2.08e-07,,1
diameter,0.5mm,Base,289.0,2.08e-07,,1
diameter,0.5mm,Base,290.0,2.06e-07,,1
diameter,0.5mm,Base,291.0,2.04e-07,,1
diameter,0.5mm,Base,292.0,2.06e-07,,1
diameter,0.5mm,Base,293.0,2.02e-07,,1
diameter,0.5mm,Base,294.0,1.84e-07,,1
diameter,0.5mm,Base,295.0,1.92e-07,,1
diameter,0.5mm,Base,296.0,2.45e-07,,1
diameter,0.5mm,Base,297.0,1.86e-07,,1
diameter,0.5mm,Base,298.0,2.1e-07,,1
diameter,0.5mm,Base,299.0,2.33e-07,,1
diameter,0.5mm,Base,300.0,9.12e-07,,1
diameter,0.5mm,Base,301.0,4.42e-07,,1
diameter,0.5mm,Base,302.0,1.49e-06,,1
diameter,0.5mm,Base,303.0,2.48e-06,,1
diameter,0.5mm,Base,304.0,1.53e-05,,1
diameter,0.5mm,Base,305.0,2.19e-05,,1
diameter,0.5mm,Base,306.0,1.88e-05,,1
diameter,0.5mm,Base,307.0,1.86e-05,,1
diameter,0.5mm,Base,308.0,2.57e-05,,1
diameter,0.5mm,Base,309.0,3.29e-05,,1
