,PC1,PC2,PC3
normalize,-5.551115123125783e-16,2.220446049250313e-16,0.543199672609634
total_irradiance,0.000123217758222614,1.0806788608310165e-06,-0.25071597426815323
centroid_nm,0.909273572167155,-0.25382255086624916,-0.20589936690621305
peak_wavelength_nm,0.24014123327081094,0.9587482970165625,-0.11180327359021697
peak_irradiance,5.697528038991454e-06,-5.409465679947901e-07,-2.0702326283038827e-06
UVC_integral,-0.0,0.0,-0.0
UVC_frac,-0.005536563209956709,0.003477374939030119,0.0072504481842246005
UVB_integral,1.4396687724274319e-05,-5.1179243457537774e-06,5.684835238558832e-06
UVB_frac,0.0006238625961416217,-0.0030270266766214003,-0.013794512085410592
UVA_integral,0.00010056368909551422,4.808882185026151e-06,0.0001017403243060318
UVA_frac,0.0036958720461934985,-0.0006378406434020535,-0.01819229538172576
uva_uvb_ratio,-0.031543320823362545,0.1257255611900412,0.3387894108325586
uvb_uvc_ratio,0.047956268890952364,-0.01704812667949859,-0.07765279634189493
uva_uvc_ratio,0.3349839495927416,0.016018687877850688,0.6824947218932916
