peak_rank,dataset,param_set,channel,n_curves,peak_wavelength_nm_grid,peak_wavelength_nm_refined,peak_wavelength_nm_0p1,peak_intensity,peak_intensity_refined,candidate_rank,delta_nm,nist_wavelength_nm,nist_obs_wl_nm,nist_ritz_wl_nm,nist_aki_s-1,nist_acc,nist_transition_type,nist_spectra_query,nist_element,nist_ion_stage,nist_species,nist_transition,nist_rel_intensity,nist_source
1,diameter,0.5mm,Base,1,335.0,335.43243243243245,335.4,0.000105,0.00010776756756756757,1,0.05550980000003847,335.4555098,,335.4555098,1453700.0,AAA,,He I,He,I,He I,,1453700.0,live_nist
1,diameter,0.5mm,Base,1,335.0,335.43243243243245,335.4,0.000105,0.00010776756756756757,2,0.26900000000000546,335.131,,335.131,,,,O II,O,II,O II,,,live_nist
1,diameter,0.5mm,Base,1,335.0,335.43243243243245,335.4,0.000105,0.00010776756756756757,3,0.3076199999999858,335.09238,335.09238,335.092386,150000000.0,D,,Ar II,Ar,II,Ar II,,150000000.0,live_nist
2,diameter,0.5mm,Base,1,390.0,390.314606741573,390.3,9.37e-05,9.45808988764045e-05,1,0.23749000000003662,390.06251,390.06251,390.062636,7200000.0,B,,Ar II,Ar,II,Ar II,,7200000.0,live_nist
2,diameter,0.5mm,Base,1,390.0,390.314606741573,390.3,9.37e-05,9.45808988764045e-05,2,0.2815500000000384,390.01845,,390.01845,414000.0,C,,N I,N,I,N I,,414000.0,live_nist
2,diameter,0.5mm,Base,1,390.0,390.314606741573,390.3,9.37e-05,9.45808988764045e-05,3,0.3949999999999818,390.695,390.695,390.693849,,,,Ar II,Ar,II,Ar II,,,live_nist
3,diameter,0.5mm,Base,1,312.0,312.2752442996743,312.3,9.15e-05,9.266290716612378e-05,1,0.04790000000002692,312.2521,312.2521,312.2524,28000000.0,C,,O II,O,II,O II,,28000000.0,live_nist
3,diameter,0.5mm,Base,1,312.0,312.2752442996743,312.3,9.15e-05,9.266290716612378e-05,2,0.09210000000001628,312.3921,312.3921,312.391,7760000.0,C,,O II,O,II,O II,,7760000.0,live_nist
3,diameter,0.5mm,Base,1,312.0,312.2752442996743,312.3,9.15e-05,9.266290716612378e-05,3,0.1268000000000029,312.4268,312.4268,312.427803,,,,Ar II,Ar,II,Ar II,,,live_nist
4,diameter,0.5mm,Base,1,355.0,355.3758620689655,355.4,3.8e-05,3.902422413793104e-05,1,0.030600000000049477,355.4306,355.4306,355.43055,270000.0,D,,Ar I,Ar,I,Ar I,,270000.0,live_nist
4,diameter,0.5mm,Base,1,355.0,355.3758620689655,355.4,3.8e-05,3.902422413793104e-05,2,0.04150000000004184,355.4415,355.4415,355.4415948,982350.0,AAA,,He I,He,I,He I,,982350.0,live_nist
4,diameter,0.5mm,Base,1,355.0,355.3758620689655,355.4,3.8e-05,3.902422413793104e-05,3,0.04150000000004184,355.4415,355.4415,355.4415799,545790.0,AAA,,He I,He,I,He I,,545790.0,live_nist
