dataset,species,mean_relative_concentration,std_relative_concentration,mean_concentration_score,mean_peak_assignments,n_groups
air,N2,0.7022558029266607,0.09776950848758557,0.00029755997197132745,4.0,4
air,N2+,0.24992386349894286,0.06395285568572914,9.596696967633686e-05,1.25,4
air,OH,0.06376044476586194,0.014439677742970853,2.173681948209936e-05,1.0,3
combined,N2,0.7253407762076749,0.12157569417591281,0.00025561689899428663,4.363636363636363,11
combined,N2+,0.25330310311313436,0.11174970571750502,8.172240649075135e-05,1.3636363636363635,11
combined,OH,0.02770929624145966,0.03109899557044869,9.355770328421724e-06,1.0,8
combined,O II,0.006621478769710572,0.0033265826138004235,2.509614139505371e-06,1.0,2
diameter,N2,0.7385321895111115,0.13891250610468417,0.00023164942872169183,4.571428571428571,7
diameter,N2+,0.25523409717838674,0.13695393740255024,7.358265609898821e-05,1.4285714285714286,7
diameter,O II,0.006621478769710572,0.0033265826138004235,2.509614139505371e-06,1.0,2
diameter,OH,0.006078607126818288,0.0053510420512492855,1.9271408362151426e-06,1.0,5
