dataset,param_set,channel,group_label,reaction,reaction_latex,pathway_weight,line_name,line_label,wavelength_nm,line_area,line_strength_norm,link_weight
air,100H.cont.trial,bulk,air | 100H.cont.trial | bulk,O + H2O_trace -> 2OH,$O + H_2O_{trace} \rightarrow 2OH$,0.5,OH_308,$OH$ (308.0 nm),308.0,8.029474999999998e-06,1.0,0.5
air,100H.cont.trial,bulk,air | 100H.cont.trial | bulk,O + H2O_trace -> 2OH,$O + H_2O_{trace} \rightarrow 2OH$,0.5,O_777,$O$ (777.2 nm),777.2,,0.0,0.0
air,100H.cont.trial,bulk,air | 100H.cont.trial | bulk,e + N2 -> 2e + N2+,$e + N_2 \rightarrow 2e + N_2^{+}$,0.0,N2plus_391,$N_2^{+}$ (391.44 nm),391.44,0.0,0.0,0.0
air,100H.cont.trial,bulk,air | 100H.cont.trial | bulk,e + N2 -> 2e + N2+,$e + N_2 \rightarrow 2e + N_2^{+}$,0.0,N2CB_394.2,$N_2(C \rightarrow B)$ (394.2 nm),394.2,1.14242e-06,0.1422782934127076,0.0
air,100H.cont.trial,bulk,air | 100H.cont.trial | bulk,e + N2 -> 2e + N2+,$e + N_2 \rightarrow 2e + N_2^{+}$,0.0,N2CB_399.7,$N_2(C \rightarrow B)$ (399.7 nm),399.7,2.7863249999999996e-08,0.003470121022856414,0.0
air,100H.cont.trial,bulk,air | 100H.cont.trial | bulk,e + N2 -> 2e + N2+,$e + N_2 \rightarrow 2e + N_2^{+}$,0.0,N2plus_428,$N_2^{+}$ (428.0 nm),428.0,0.0,0.0,0.0
air,100H.cont.trial,bulk,air | 100H.cont.trial | bulk,e + N2 -> e + N2(C),$e + N_2 \rightarrow e + N_2(C)$,0.1977126135621303,N2_379,$N_2$ (379.0 nm),379.0,6.376749999999998e-07,0.0794167738239424,0.1908016111956768
air,100H.cont.trial,bulk,air | 100H.cont.trial | bulk,e + N2 -> e + N2(C),$e + N_2 \rightarrow e + N_2(C)$,0.1977126135621303,N2CB_370.9,$N_2(C \rightarrow B)$ (370.9 nm),370.9,2.309715e-08,0.0028765454777553955,0.0069110023664534885
air,100H.cont.trial,bulk,air | 100H.cont.trial | bulk,e + N2 -> e + N2(C),$e + N_2 \rightarrow e + N_2(C)$,0.1977126135621303,N2_337,$N_2$ (337.0 nm),337.0,0.0,0.0,0.0
air,100H.cont.trial,bulk,air | 100H.cont.trial | bulk,e + N2 -> e + N2(C),$e + N_2 \rightarrow e + N_2(C)$,0.1977126135621303,N2CB_353.6,$N_2(C \rightarrow B)$ (353.6 nm),353.6,0.0,0.0,0.0
air,100H.cont.trial,bulk,air | 100H.cont.trial | bulk,e + N2 -> e + N2(C),$e + N_2 \rightarrow e + N_2(C)$,0.1977126135621303,N2CB_357.6,$N_2(C \rightarrow B)$ (357.6 nm),357.6,0.0,0.0,0.0
