dataset,species,mean_relative_concentration,std_relative_concentration,mean_concentration_score,mean_peak_assignments,n_groups
air,N2,0.7934433963411159,0.0845833242095682,0.0003034802111488792,4.333333333333333,3
air,N2+,0.16077136100285735,0.07731964952021557,4.2941198625568874e-05,1.3333333333333333,3
air,OH,0.08288961906540909,0.0,1.618177457304077e-05,1.0,1
air,O I,0.032926975833582,0.0,2.3678379697144778e-05,1.0,1
air,O II,0.02153913306908892,0.0,1.5489177437214177e-05,1.0,1
combined,N2,0.7550055515601128,0.12311728325146497,0.00025319866344984806,4.5,10
combined,N2+,0.22689527632572792,0.12615408573483985,6.439021885696242e-05,1.4,10
combined,O I,0.032926975833582,0.0,2.3678379697144778e-05,1.0,1
combined,OH,0.018880442449916757,0.03172111042611498,4.302913125686081e-06,1.0,6
combined,O II,0.011594030202836688,0.008928150940058832,6.83613523874164e-06,1.0,3
diameter,N2,0.7385321895111115,0.13891250610468417,0.00023164942872169183,4.571428571428571,7
diameter,N2+,0.25523409717838674,0.13695393740255024,7.358265609898821e-05,1.4285714285714286,7
diameter,O II,0.006621478769710572,0.0033265826138004235,2.509614139505371e-06,1.0,2
diameter,OH,0.006078607126818288,0.0053510420512492855,1.9271408362151426e-06,1.0,5
