,PC1,PC2,PC3,PC4,PC5
total_irradiance,-1.3027355377205324e-05,0.00012655828752150113,-7.074300174215561e-05,-0.001261132006592489,-0.0012503001210020489
centroid_nm,0.2889268888739881,0.8995035377667554,-0.16589620887926895,0.2813937935235687,-0.02452493562293028
peak_wavelength_nm,0.9564461808676148,-0.28510837072875056,0.0440840109591859,-0.044271950767421915,0.004496585777761529
peak_irradiance,-5.203132783236791e-06,8.217734754892455e-06,-4.835434352629752e-05,-0.000247438202396377,-0.0003647449074395126
UVC_integral,-1.1342913761741598e-05,4.19187579259115e-06,-0.00012213741974000385,-0.00045814452086349774,-0.0006480768503132395
UVC_frac,-0.001870335634700031,-0.006539985374779569,0.005582753921355769,0.0027373129932904135,0.03747801702188511
UVB_integral,-3.307583132298159e-07,1.5565486713261793e-05,-1.8578611449138433e-05,-0.00010482293148645318,0.00014514147126738083
UVB_frac,0.00035086746911760494,0.0015964148378471157,-0.009761554632583713,-0.0010025817685181135,0.0736409745967649
UVA_integral,-1.805218294291215e-06,0.00010027303478271282,6.310011410697498e-05,-0.0006743355918850853,-0.000840792857978839
UVA_frac,0.0013875661359369382,0.004167426991623661,0.0035792192788019627,-0.0008026580773332519,-0.15260736675395944
uva_uvb_ratio,-0.023340927992910147,-0.07204239204741174,0.7245629843152481,0.6843150366578356,0.02979357353216188
uvb_uvc_ratio,0.006180032655640607,0.04915488609271061,0.021560303876065175,-0.06061778873792047,0.9816430896578234
uva_uvc_ratio,0.03381445451569433,0.31927665058840793,0.667037772863201,-0.6684941824946691,-0.06890608226933088
