sample_id,dataset,param_set,trial,channel,total_integral,n_windows,no_gamma_area,no_gamma_peak,no_gamma_peak_nm,no_gamma_frac_total,no_gamma_points,oh_309_area,oh_309_peak,oh_309_peak_nm,oh_309_frac_total,oh_309_points,n2_315_area,n2_315_peak,n2_315_peak_nm,n2_315_frac_total,n2_315_points,n2_337_area,n2_337_peak,n2_337_peak_nm,n2_337_frac_total,n2_337_points,n2_357_area,n2_357_peak,n2_357_peak_nm,n2_357_frac_total,n2_357_points,n2_380_area,n2_380_peak,n2_380_peak_nm,n2_380_frac_total,n2_380_points,n2plus_391_area,n2plus_391_peak,n2plus_391_peak_nm,n2plus_391_frac_total,n2plus_391_points,n2plus_427_area,n2plus_427_peak,n2plus_427_peak_nm,n2plus_427_frac_total,n2plus_427_points,hgamma_434_area,hgamma_434_peak,hgamma_434_peak_nm,hgamma_434_frac_total,hgamma_434_points,hbeta_486_area,hbeta_486_peak,hbeta_486_peak_nm,hbeta_486_frac_total,hbeta_486_points,uvc_continuum_area,uvc_continuum_peak,uvc_continuum_peak_nm,uvc_continuum_frac_total,uvc_continuum_points,n2_sps_total_area,n2plus_total_area,balmer_total_area,oh_to_n2_337_ratio,n2_337_to_n2plus_391_ratio,n2_sps_to_n2plus_ratio,no_gamma_to_oh_ratio,uvc_to_n2_337_ratio,balmer_to_n2plus_ratio
air__100H.cont.trial__bulk,air,100H.cont.trial,,bulk,0.00141567559359,11,4.6833053e-05,3.66831e-06,220.0,0.03308176902395869,31.0,6.4134025e-05,2.2344e-05,309.0,0.045302769427113636,7.0,9.4944815e-05,4.45885e-05,314.0,0.06706678806210838,6.0,0.00031631850800000003,9.53464e-05,335.0,0.22343996706042699,7.0,0.00019272758000000003,6.0734e-05,356.0,0.1361382373706562,7.0,8.1679265e-06,2.56912e-06,379.0,0.00576963150101855,7.0,0.00025149209,5.96969e-05,391.0,0.17764810747513368,7.0,3.8933149999999994e-07,6.51951e-08,430.0,0.0002750146303029054,7.0,3.8968975000000004e-07,6.51543e-08,431.0,0.0002752676896913855,7.0,2.8061325e-07,4.71e-08,489.0,0.00019821861114974456,7.0,0.00030012228099999996,3.16305e-05,200.0,0.21199933258644543,81.0,0.0006121588295000001,0.00025188142149999997,6.70303e-07,0.20275141472278313,1.2577672244085294,2.4303453023826935,0.730237233668088,0.9487977257404108,0.002661184759114916
air__1H.1A-CONT__bulk,air,1H.1A-CONT,,bulk,0.0020611719804,11,6.8780743e-05,2.06538e-05,250.0,0.033369725405762656,31.0,0.00010597012499999999,4.59959e-05,312.0,0.05141255848987185,7.0,0.0001595628,4.25367e-05,313.0,0.07741362754651582,6.0,0.00041232641999999997,0.000107985,336.0,0.20004464640547953,7.0,0.000218651955,5.081e-05,355.0,0.10608137364528283,7.0,4.645533200000001e-05,2.03229e-05,377.0,0.022538309486908843,7.0,0.00026026435,5.26455e-05,390.0,0.12627007958331163,7.0,2.92124755e-05,1.03005e-05,427.0,0.014172750152721804,7.0,1.11699815e-06,6.42902e-07,431.0,0.0005419237989947983,7.0,2.8061300000000005e-07,4.71003e-08,489.0,0.000136142448407213,7.0,0.000468981623,3.44533e-05,251.0,0.22753153422403277,81.0,0.000836996507,0.00028947682550000005,1.39761115e-06,0.2570054206082647,1.5842600801838589,2.891411101922561,0.6490578641857788,1.1374037661714718,0.004828058852676618
air__1H.9A__bulk,air,1H.9A,,bulk,0.00988071301089,11,7.3483643e-05,1.13561e-05,247.0,0.007437078975880609,31.0,0.00022415148999999998,0.000109794,312.0,0.022685760607858162,7.0,0.00063168675,0.000164827,314.0,0.06393129213486803,6.0,0.00143911405,0.000332147,335.0,0.14564880575054498,7.0,0.000931391,0.000222106,356.0,0.09426354140368919,7.0,0.000342946705,7.96838e-05,379.0,0.034708700133484524,7.0,0.00029384725000000005,6.67466e-05,390.0,0.029739478282198577,7.0,2.6703962e-05,9.31766e-06,428.0,0.0027026351206201724,7.0,5.56434e-07,1.86185e-07,432.0,5.631516666729697e-05,7.0,2.8065735e-07,4.70968e-08,489.0,2.8404564497589827e-05,7.0,0.004314963044999998,0.002106126,201.0,0.4367056345270097,81.0,0.003345138505,0.00032055121200000005,8.3709135e-07,0.15575658510178536,4.89749027768679,10.435582146543247,0.3278302678246752,2.9983468266465736,0.0026114122132846586
diameter__0.5mm__base,diameter,0.5mm,,Base,0.00220876778,11,4.683e-05,3.67e-06,220.0,0.02120186668061592,31.0,0.00024335,9.15e-05,312.0,0.11017455171317286,7.0,0.00019711000000000002,8.46e-05,313.0,0.0892398022937477,6.0,0.00043860000000000004,0.000105,335.0,0.1985722555224887,7.0,0.000130999,3.8e-05,355.0,0.059308634065641797,7.0,3.600950000000001e-05,1.25e-05,379.0,0.016302981384489414,7.0,0.00042005000000000005,9.37e-05,390.0,0.19017390773420287,7.0,5.84185e-05,1.96e-05,428.0,0.026448457157411093,7.0,9.9645e-07,4.75e-07,431.0,0.0004511338896839577,7.0,2.806e-07,4.71e-08,489.0,0.00012703915845784387,7.0,0.0003002045,3.16e-05,200.0,0.1359149217578681,81.0,0.0008027185000000001,0.0004784685000000001,1.27705e-06,0.5548335613315093,1.044161409356029,1.6776830658653599,0.1924388740497226,0.6844607843137255,0.0026690367286456677
diameter__0.5mm__middle,diameter,0.5mm,,Middle,0.00435070253,11,4.683e-05,3.67e-06,220.0,0.010763778878718237,31.0,0.00022085000000000003,8.93e-05,312.0,0.05076191683461292,7.0,0.0004516,0.000136,314.0,0.10379932824320214,6.0,0.000793,0.000184,336.0,0.18226941385487,7.0,0.00042117,0.000101,356.0,0.09680505552743456,7.0,0.00018236,4.5e-05,379.0,0.04191506974851714,7.0,0.0009161999999999999,0.000194,390.0,0.21058667966435293,7.0,0.000205125,5.51e-05,428.0,0.047147558028978825,7.0,1.20383e-05,8.69e-06,431.0,0.002766978417161515,7.0,2.736e-07,4.92e-08,486.0,6.288639549898164e-05,7.0,0.0003002045,3.16e-05,200.0,0.06900138493265362,81.0,0.00184813,0.0011213249999999998,1.23119e-05,0.2784993694829761,0.8655315433311505,1.6481662319131387,0.21204437400950868,0.37856809583858764,0.010979778387175888
diameter__0.5mm__tip,diameter,0.5mm,,Tip,0.0009074845300000001,11,4.683e-05,3.67e-06,220.0,0.05160418547300194,31.0,5.7116e-06,5.86e-06,312.0,0.006293881395421693,7.0,6.4886e-05,2.71e-05,314.0,0.07150094338247286,6.0,0.00014620000000000003,4.05e-05,334.0,0.16110467469897258,7.0,4.7403e-05,1.58e-05,355.0,0.05223560119531734,7.0,6.567e-07,4.44e-07,383.0,0.00072364869955414,7.0,0.0001945,4.53e-05,390.0,0.21432872249623913,7.0,1.42185e-05,5.3e-06,427.0,0.015668035685412727,7.0,7.6609e-07,4.17e-07,431.0,0.0008441906993169349,7.0,2.806e-07,4.71e-08,489.0,0.00030920637291745345,7.0,0.0003002045,3.16e-05,200.0,0.33080949600319903,81.0,0.00025914570000000004,0.0002087185,1.04669e-06,0.03906703146374828,0.7516709511568125,1.2416038827415876,8.19910357868198,2.053382352941176,0.005014840562767555
diameter__1mm__0_5_cm_below,diameter,1mm,,0.5 cm below,0.00052920395,11,4.683e-05,3.67e-06,220.0,0.08849140298367009,31.0,1.3525000000000002e-06,8.68e-07,312.0,0.002555725443848256,7.0,7.8421e-06,3.61e-06,314.0,0.014818672460778119,6.0,7.314999999999999e-05,2.94e-05,335.0,0.13822648149168196,7.0,2.98765e-05,1.1e-05,356.0,0.056455549887713424,7.0,2.3931500000000003e-05,6.91e-06,380.0,0.04522169571863551,7.0,4.8979999999999995e-05,1.12e-05,391.0,0.09255410886483367,7.0,3.8935000000000003e-07,6.52e-08,430.0,0.0007357276906190893,7.0,3.8969999999999995e-07,6.52e-08,431.0,0.0007363890613439298,7.0,2.806e-07,4.71e-08,489.0,0.000530230358257908,7.0,0.0003002045,3.16e-05,200.0,0.5672756221868714,81.0,0.0001348001,4.936935e-05,6.703e-07,0.0184894053315106,1.4934667211106574,2.730441053001508,34.624768946395555,4.103957621326043,0.013577249852388172
diameter__1mm__base,diameter,1mm,,Base,0.0017836945400000002,11,4.683e-05,3.67e-06,220.0,0.026254495346495814,31.0,4.1359e-05,3.87e-05,312.0,0.02318726613358361,7.0,0.00015552399999999998,5.12e-05,313.0,0.08719205924126447,6.0,0.00064462,0.000174,336.0,0.36139595964676774,7.0,0.00021170000000000002,6.96e-05,356.0,0.11868624097487006,7.0,1.9586e-05,6.58e-06,379.0,0.010980579668085992,7.0,0.00019219,5.28e-05,390.0,0.1077482694991038,7.0,3.8935000000000003e-07,6.52e-08,430.0,0.00021828289052227518,7.0,3.8969999999999995e-07,6.52e-08,431.0,0.00021847911246058974,7.0,2.806e-07,4.71e-08,489.0,0.00015731393111737617,7.0,0.0003002045,3.16e-05,200.0,0.16830488251648737,81.0,0.00103143,0.00019257935,6.703e-07,0.06416028047531878,3.354076694937302,5.355870190651283,1.1322807611402597,0.4657077037634575,0.00348064317383977
diameter__1mm__middle,diameter,1mm,,Middle,0.007250274899999999,11,4.683e-05,3.67e-06,220.0,0.006459065434884407,31.0,0.00014958,0.000113,312.0,0.020630941869528286,7.0,0.0008664499999999998,0.000231,314.0,0.11950581349680961,6.0,0.0017571,0.000412,336.0,0.24234943146776408,7.0,0.0010216,0.000252,356.0,0.1409050020986101,7.0,0.00036699000000000004,7.89e-05,379.0,0.05061739107299229,7.0,0.0011755,0.000272,390.0,0.16213178344451465,7.0,0.00022666349999999998,6.89e-05,429.0,0.031262745637410244,7.0,1.0911549999999999e-05,6.31e-06,431.0,0.0015049843144568215,7.0,2.806e-07,4.71e-08,489.0,3.870198080351409e-05,7.0,0.0003002045,3.16e-05,200.0,0.0414059472420832,81.0,0.00401214,0.0014021634999999998,1.119215e-05,0.08512890558306299,1.4947681837515951,2.8613924125110946,0.3130766145206578,0.17085225655910308,0.007982057727219402
diameter__1mm__tip,diameter,1mm,,Tip,0.0010672751,11,4.683e-05,3.67e-06,220.0,0.04387809665942736,31.0,6.8805e-06,6.97e-06,312.0,0.00644679145985885,7.0,6.607e-05,3.12e-05,314.0,0.06190531382208767,6.0,0.00034424,0.000104,336.0,0.3225410205859764,7.0,0.000101045,3.49e-05,356.0,0.09467568389818147,7.0,2.8141e-05,1.01e-05,379.0,0.026367147514263195,7.0,0.00013509499999999998,3.51e-05,391.0,0.12657936084145502,7.0,3.8935000000000003e-07,6.52e-08,430.0,0.0003648075365011327,7.0,3.8969999999999995e-07,6.52e-08,431.0,0.0003651354744432808,7.0,2.806e-07,4.71e-08,489.0,0.00026291253304794613,7.0,0.0003002045,3.16e-05,200.0,0.2812812741532151,81.0,0.000539496,0.00013548435,6.703e-07,0.019987508714850104,2.548132795440246,3.9819802065699843,6.8061914105079575,0.8720790727399489,0.004947434888236169
