dataset,param_set,channel,no_gamma_area__mean,no_gamma_area__std,oh_309_area__mean,oh_309_area__std,n2_315_area__mean,n2_315_area__std,n2_337_area__mean,n2_337_area__std,n2_357_area__mean,n2_357_area__std,n2_380_area__mean,n2_380_area__std,n2plus_391_area__mean,n2plus_391_area__std,n2plus_427_area__mean,n2plus_427_area__std,hgamma_434_area__mean,hgamma_434_area__std,hbeta_486_area__mean,hbeta_486_area__std,uvc_continuum_area__mean,uvc_continuum_area__std,n2_sps_total_area__mean,n2_sps_total_area__std,n2plus_total_area__mean,n2plus_total_area__std,balmer_total_area__mean,balmer_total_area__std,oh_to_n2_337_ratio__mean,oh_to_n2_337_ratio__std,n2_337_to_n2plus_391_ratio__mean,n2_337_to_n2plus_391_ratio__std,n2_sps_to_n2plus_ratio__mean,n2_sps_to_n2plus_ratio__std,no_gamma_to_oh_ratio__mean,no_gamma_to_oh_ratio__std,uvc_to_n2_337_ratio__mean,uvc_to_n2_337_ratio__std,balmer_to_n2plus_ratio__mean,balmer_to_n2plus_ratio__std
air,100H.cont.trial,bulk,4.6833053e-05,,6.4134025e-05,,9.4944815e-05,,0.00031631850800000003,,0.00019272758000000003,,8.1679265e-06,,0.00025149209,,3.8933149999999994e-07,,3.8968975000000004e-07,,2.8061325e-07,,0.00030012228099999996,,0.0006121588295000001,,0.00025188142149999997,,6.70303e-07,,0.20275141472278313,,1.2577672244085294,,2.4303453023826935,,0.730237233668088,,0.9487977257404108,,0.002661184759114916,
air,1H.1A-CONT,bulk,6.8780743e-05,,0.00010597012499999999,,0.0001595628,,0.00041232641999999997,,0.000218651955,,4.645533200000001e-05,,0.00026026435,,2.92124755e-05,,1.11699815e-06,,2.8061300000000005e-07,,0.000468981623,,0.000836996507,,0.00028947682550000005,,1.39761115e-06,,0.2570054206082647,,1.5842600801838589,,2.891411101922561,,0.6490578641857788,,1.1374037661714718,,0.004828058852676618,
air,1H.9A,bulk,7.3483643e-05,,0.00022415148999999998,,0.00063168675,,0.00143911405,,0.000931391,,0.000342946705,,0.00029384725000000005,,2.6703962e-05,,5.56434e-07,,2.8065735e-07,,0.004314963044999998,,0.003345138505,,0.00032055121200000005,,8.3709135e-07,,0.15575658510178536,,4.89749027768679,,10.435582146543247,,0.3278302678246752,,2.9983468266465736,,0.0026114122132846586,
diameter,0.5mm,Base,4.683e-05,,0.00024335,,0.00019711000000000002,,0.00043860000000000004,,0.000130999,,3.600950000000001e-05,,0.00042005000000000005,,5.84185e-05,,9.9645e-07,,2.806e-07,,0.0003002045,,0.0008027185000000001,,0.0004784685000000001,,1.27705e-06,,0.5548335613315093,,1.044161409356029,,1.6776830658653599,,0.1924388740497226,,0.6844607843137255,,0.0026690367286456677,
diameter,0.5mm,Middle,4.683e-05,,0.00022085000000000003,,0.0004516,,0.000793,,0.00042117,,0.00018236,,0.0009161999999999999,,0.000205125,,1.20383e-05,,2.736e-07,,0.0003002045,,0.00184813,,0.0011213249999999998,,1.23119e-05,,0.2784993694829761,,0.8655315433311505,,1.6481662319131387,,0.21204437400950868,,0.37856809583858764,,0.010979778387175888,
diameter,0.5mm,Tip,4.683e-05,,5.7116e-06,,6.4886e-05,,0.00014620000000000003,,4.7403e-05,,6.567e-07,,0.0001945,,1.42185e-05,,7.6609e-07,,2.806e-07,,0.0003002045,,0.00025914570000000004,,0.0002087185,,1.04669e-06,,0.03906703146374828,,0.7516709511568125,,1.2416038827415876,,8.19910357868198,,2.053382352941176,,0.005014840562767555,
diameter,1mm,0.5 cm below,4.683e-05,,1.3525000000000002e-06,,7.8421e-06,,7.314999999999999e-05,,2.98765e-05,,2.3931500000000003e-05,,4.8979999999999995e-05,,3.8935000000000003e-07,,3.8969999999999995e-07,,2.806e-07,,0.0003002045,,0.0001348001,,4.936935e-05,,6.703e-07,,0.0184894053315106,,1.4934667211106574,,2.730441053001508,,34.624768946395555,,4.103957621326043,,0.013577249852388172,
diameter,1mm,Base,4.683e-05,,4.1359e-05,,0.00015552399999999998,,0.00064462,,0.00021170000000000002,,1.9586e-05,,0.00019219,,3.8935000000000003e-07,,3.8969999999999995e-07,,2.806e-07,,0.0003002045,,0.00103143,,0.00019257935,,6.703e-07,,0.06416028047531878,,3.354076694937302,,5.355870190651283,,1.1322807611402597,,0.4657077037634575,,0.00348064317383977,
diameter,1mm,Middle,4.683e-05,,0.00014958,,0.0008664499999999998,,0.0017571,,0.0010216,,0.00036699000000000004,,0.0011755,,0.00022666349999999998,,1.0911549999999999e-05,,2.806e-07,,0.0003002045,,0.00401214,,0.0014021634999999998,,1.119215e-05,,0.08512890558306299,,1.4947681837515951,,2.8613924125110946,,0.3130766145206578,,0.17085225655910308,,0.007982057727219402,
diameter,1mm,Tip,4.683e-05,,6.8805e-06,,6.607e-05,,0.00034424,,0.000101045,,2.8141e-05,,0.00013509499999999998,,3.8935000000000003e-07,,3.8969999999999995e-07,,2.806e-07,,0.0003002045,,0.000539496,,0.00013548435,,6.703e-07,,0.019987508714850104,,2.548132795440246,,3.9819802065699843,,6.8061914105079575,,0.8720790727399489,,0.004947434888236169,
