dataset,sample_id,param_set,trial,channel,source_file,﻿name,date,time,irradiance total,irradiance uva,irradiance uvb,irradiance uvc,irradiance @253.7nm,irradiance @365nm,irradiance wl range,spectral centroid
air,air__100H.cont.trial__bulk,100H.cont.trial,,bulk,data/air/100H.cont.trial.csv,"100H-2nd,Current Measurement,Current Measurement,100H.conttrial","1/1/1980,1/1/1980,1/1/1980,1/1/1980","00:18am,00:22am,00:25am,00:25am","1.43E-03,1.87E-03,2.03E-03,2.03E-03","9.66E-04,1.24E-03,1.33E-03,1.33E-03","1.76E-04,3.61E-04,3.22E-04,3.22E-04","3.16E-04,3.16E-04,3.84E-04,3.84E-04","5.52E-06,5.52E-06,5.52E-06,5.52E-06","6.17E-06,5.83E-06,8.08E-06,8.08E-06","1.43E-03,1.87E-03,2.03E-03,2.03E-03","320.3,322.2,325.1,325.1"
air,air__1H.1A-CONT__bulk,1H.1A-CONT,,bulk,data/air/1H.1A-CONT.csv,"Current Measurement,Current Measurement,Current Measurement,1H.9A-CONT","1/1/1980,1/1/1980,1/1/1980,1/1/1980","00:32am,00:34am,00:36am,00:36am","2.08E-03,4.63E-03,2.08E-03,2.08E-03","1.32E-03,1.41E-03,1.21E-03,1.21E-03","2.50E-04,3.97E-04,2.98E-04,2.98E-04","4.85E-04,2.35E-03,4.99E-04,4.99E-04","1.04E-04,5.54E-06,5.52E-06,5.52E-06","1.36E-05,2.60E-06,3.50E-06,3.50E-06","2.08E-03,4.63E-03,2.08E-03,2.08E-03","322.2,292.2,321.9,321.9"
air,air__1H.9A__bulk,1H.9A,,bulk,data/air/1H.9A.csv,"Current Measurement,Current Measurement,Current Measurement,Current Measurement","1/1/1980,1/1/1980,1/1/1980,1/1/1980","00:44am,00:46am,00:48am,00:50am","1.05E-02,6.12E-03,5.80E-03,9.54E-03","4.68E-03,4.10E-03,3.34E-03,3.07E-03","9.17E-04,7.59E-04,8.44E-04,9.49E-04","4.97E-03,1.26E-03,1.40E-03,5.34E-03","6.10E-06,5.52E-06,7.87E-06,7.76E-05","1.07E-04,8.11E-05,7.68E-05,1.03E-04","1.05E-02,6.12E-03,5.80E-03,9.54E-03","278.2,320,321.4,268.7"
diameter,diameter__0.5mm__base,0.5mm,,Base,data/diameter/0.5mm.csv,,,,,,,,,,,
diameter,diameter__0.5mm__middle,0.5mm,,Middle,data/diameter/0.5mm.csv,,,,,,,,,,,
diameter,diameter__0.5mm__tip,0.5mm,,Tip,data/diameter/0.5mm.csv,,,,,,,,,,,
diameter,diameter__1mm__0_5_cm_below,1mm,,0.5 cm below,data/diameter/1mm.csv,,,,,,,,,,,
diameter,diameter__1mm__base,1mm,,Base,data/diameter/1mm.csv,,,,,,,,,,,
diameter,diameter__1mm__middle,1mm,,Middle,data/diameter/1mm.csv,,,,,,,,,,,
diameter,diameter__1mm__tip,1mm,,Tip,data/diameter/1mm.csv,,,,,,,,,,,
