dataset,param_set,channel,species,targets_total,targets_matched,match_rate,mean_delta_nm,mean_matched_peak_intensity
air,100H.cont.trial,bulk,N2,7,4,0.5714285714285714,0.45000000000000284,5.144349441478761e-05
air,100H.cont.trial,bulk,N2+,2,2,1.0,0.75,3.116119361999688e-05
air,100H.cont.trial,bulk,O I,2,0,0.0,,
air,100H.cont.trial,bulk,O II,2,0,0.0,,
air,100H.cont.trial,bulk,OH,2,1,0.5,0.5,2.427266185956116e-05
air,1H.1A-CONT,bulk,N2,7,4,0.5714285714285714,1.0500000000000114,5.332752971856432e-05
air,1H.1A-CONT,bulk,N2+,2,1,0.5,0.5,5.367306342915215e-05
air,1H.1A-CONT,bulk,O I,2,0,0.0,,
air,1H.1A-CONT,bulk,O II,2,0,0.0,,
air,1H.1A-CONT,bulk,OH,2,0,0.0,,
air,1H.9A,bulk,N2,7,5,0.7142857142857143,0.37999999999999545,0.0001688961319978829
air,1H.9A,bulk,N2+,2,1,0.5,0.30000000000001137,6.715211254321032e-05
air,1H.9A,bulk,O I,2,1,0.5,0.39999999999997726,3.3149731576002154e-05
air,1H.9A,bulk,O II,2,1,0.5,1.6000000000000227,4.027186133675721e-05
air,1H.9A,bulk,OH,2,0,0.0,,
diameter,0.5mm,Base,N2,7,4,0.5714285714285714,0.3750000000000142,4.036247049735957e-05
diameter,0.5mm,Base,N2+,2,1,0.5,0.30000000000001137,9.45808988764045e-05
diameter,0.5mm,Base,O I,2,0,0.0,,
diameter,0.5mm,Base,O II,2,1,0.5,1.8000000000000114,2.1328656462585035e-06
diameter,0.5mm,Base,OH,2,0,0.0,,
diameter,0.5mm,Middle,N2,7,5,0.7142857142857143,0.559999999999991,9.592256606437041e-05
diameter,0.5mm,Middle,N2+,2,1,0.5,0.39999999999997726,0.000196640625
diameter,0.5mm,Middle,O I,2,0,0.0,,
diameter,0.5mm,Middle,O II,2,1,0.5,1.3000000000000114,9.792228260869565e-06
diameter,0.5mm,Middle,OH,2,1,0.5,1.8999999999999773,2.1228125e-05
diameter,0.5mm,Tip,N2,7,3,0.42857142857142855,1.033333333333322,2.8417888471177945e-05
diameter,0.5mm,Tip,N2+,2,2,1.0,0.700000000000017,2.3494845255066656e-05
diameter,0.5mm,Tip,O I,2,0,0.0,,
diameter,0.5mm,Tip,O II,2,0,0.0,,
diameter,0.5mm,Tip,OH,2,1,0.5,1.8999999999999773,1.0649308035714285e-06
diameter,1mm,0.5 cm below,N2,7,5,0.7142857142857143,0.7200000000000045,1.0829501191731259e-05
diameter,1mm,0.5 cm below,N2+,2,1,0.5,1.3000000000000114,1.1285816326530612e-05
diameter,1mm,0.5 cm below,O I,2,0,0.0,,
diameter,1mm,0.5 cm below,O II,2,0,0.0,,
diameter,1mm,0.5 cm below,OH,2,1,0.5,1.8000000000000114,2.6737777777777777e-07
diameter,1mm,Base,N2,7,4,0.5714285714285714,0.5250000000000057,7.576616946866884e-05
diameter,1mm,Base,N2+,2,2,1.0,0.75,2.7703701329534665e-05
diameter,1mm,Base,O I,2,0,0.0,,
diameter,1mm,Base,O II,2,0,0.0,,
diameter,1mm,Base,OH,2,1,0.5,0.0,1.4201285612535611e-06
diameter,1mm,Middle,N2,7,6,0.8571428571428571,0.6000000000000133,0.00016792620681683513
diameter,1mm,Middle,N2+,2,2,1.0,0.75,0.0001403293128859159
diameter,1mm,Middle,O I,2,0,0.0,,
diameter,1mm,Middle,O II,2,0,0.0,,
diameter,1mm,Middle,OH,2,0,0.0,,
diameter,1mm,Tip,N2,7,5,0.7142857142857143,0.5399999999999977,3.6642623600049216e-05
diameter,1mm,Tip,N2+,2,1,0.5,0.6000000000000227,3.5949122807017543e-05
diameter,1mm,Tip,O I,2,0,0.0,,
diameter,1mm,Tip,O II,2,0,0.0,,
diameter,1mm,Tip,OH,2,1,0.5,1.8999999999999773,1.2551865097856478e-06
