,PC1,PC2,PC3,PC4,PC5
total_irradiance,-2.8136558877882964e-05,9.641244070406089e-05,-0.00012924620682568366,0.0002734409548551507,-0.0011924112181825566
centroid_nm,0.24229098949395328,0.9370235176858551,0.16083475913698259,-0.19296230575870488,-0.010494298229981597
peak_wavelength_nm,0.9695259318427751,-0.23857022544527343,-0.053928804004731816,0.013964790676605986,-0.0003719688022414331
peak_irradiance,-4.249116629260234e-06,-5.631081269008046e-06,-2.5333357314050644e-05,6.394323597978939e-05,7.396438951508388e-05
UVC_integral,-1.7802749652897165e-05,-7.446707191136992e-06,-7.949377601164514e-05,5.5675741730809204e-05,-0.00042249947443504616
UVC_frac,-0.0017781511935939954,-0.00643047708850699,-0.0009814658600250396,0.0009676148950465823,-0.015324675451333387
UVB_integral,-2.1288558372581323e-06,1.6701950982024646e-05,-2.015133002658255e-05,1.089054408772757e-05,0.00013204388637779032
UVB_frac,0.0002209277606770785,0.0021911261166593183,-0.004872070196223064,-0.003313352166531141,0.07646819122340665
UVA_integral,-6.728578035374166e-06,8.084860405156765e-05,-2.1943797633129203e-05,0.00019718667971887024,-0.000857194055040019
UVA_frac,0.0016229977011568892,0.003323896309392488,0.0069653353562929765,0.0022519996436651027,-0.06853592242592035
uva_uvb_ratio,0.008967294162461285,-0.19009522536954768,0.9761316288891094,-0.09982658529714662,0.031048036543510325
uvb_uvc_ratio,0.0063193831756858795,0.0331760098404413,-0.014078381050097375,0.10278418066602171,0.9886876695576131
uva_uvc_ratio,0.03447246723657847,0.166664681151984,0.13460856521107853,0.9705789464062863,-0.1031536823757369
