dataset,param_set,channel,wavelength_nm,irradiance_mean,irradiance_std,n_curves
air,100H,bulk,200.0,3.16305e-05,0.0,3
air,100H,bulk,201.0,2.64654e-05,0.0,3
air,100H,bulk,202.0,2.27504e-05,0.0,3
air,100H,bulk,203.0,1.995e-05,0.0,3
air,100H,bulk,204.0,1.77634e-05,0.0,3
air,100H,bulk,205.0,1.60088e-05,0.0,3
air,100H,bulk,206.0,1.44979e-05,0.0,3
air,100H,bulk,207.0,1.32476e-05,0.0,3
air,100H,bulk,208.0,1.2195900000000001e-05,2.0747985160988132e-21,3
air,100H,bulk,209.0,1.12988e-05,0.0,3
air,100H,bulk,210.0,1.05247e-05,0.0,3
air,100H,bulk,211.0,9.36856e-06,0.0,3
air,100H,bulk,212.0,8.4413e-06,0.0,3
air,100H,bulk,213.0,7.68106e-06,0.0,3
air,100H,bulk,214.0,7.04644e-06,0.0,3
air,100H,bulk,215.0,6.50869e-06,0.0,3
air,100H,bulk,216.0,5.635910000000001e-06,1.0373992580494066e-21,3
air,100H,bulk,217.0,4.96952e-06,0.0,3
air,100H,bulk,218.0,4.44406e-06,0.0,3
air,100H,bulk,219.0,4.01909e-06,0.0,3
air,100H,bulk,220.0,3.6683099999999995e-06,5.186996290247033e-22,3
air,100H,bulk,221.0,3.28927e-06,0.0,3
air,100H,bulk,222.0,2.98123e-06,0.0,3
air,100H,bulk,223.0,2.72594e-06,0.0,3
air,100H,bulk,224.0,2.51093e-06,0.0,3
air,100H,bulk,225.0,2.32735e-06,0.0,3
air,100H,bulk,226.0,2.23716e-06,0.0,3
air,100H,bulk,227.0,2.1537e-06,0.0,3
air,100H,bulk,228.0,2.07624e-06,0.0,3
air,100H,bulk,229.0,2.00415e-06,0.0,3
air,100H,bulk,230.0,1.93691e-06,0.0,3
air,100H,bulk,231.0,1.84386e-06,0.0,3
air,100H,bulk,232.0,1.7593400000000003e-06,2.5934981451235165e-22,3
air,100H,bulk,233.0,1.68224e-06,0.0,3
air,100H,bulk,234.0,1.6116e-06,0.0,3
air,100H,bulk,235.0,1.54666e-06,0.0,3
air,100H,bulk,236.0,1.4026800000000002e-06,2.5934981451235165e-22,3
air,100H,bulk,237.0,1.28323e-06,0.0,3
air,100H,bulk,238.0,1.18252e-06,0.0,3
air,100H,bulk,239.0,1.09647e-06,0.0,3
air,100H,bulk,240.0,1.02209e-06,0.0,3
air,100H,bulk,241.0,9.14947e-07,0.0,3
air,100H,bulk,242.0,8.281320000000001e-07,1.2967490725617583e-22,3
air,100H,bulk,243.0,7.563649999999999e-07,1.2967490725617583e-22,3
air,100H,bulk,244.0,6.96044e-07,0.0,3
air,100H,bulk,245.0,6.446339999999999e-07,1.2967490725617583e-22,3
air,100H,bulk,246.0,6.06854e-07,0.0,3
air,100H,bulk,247.0,5.73256e-07,0.0,3
air,100H,bulk,248.0,5.43184e-07,0.0,3
air,100H,bulk,249.0,5.16109e-07,0.0,3
air,100H,bulk,250.0,4.91606e-07,0.0,3
air,100H,bulk,251.0,4.92484e-07,0.0,3
air,100H,bulk,252.0,4.93366e-07,0.0,3
air,100H,bulk,253.0,4.94251e-07,0.0,3
air,100H,bulk,254.0,4.95139e-07,0.0,3
air,100H,bulk,255.0,4.9603e-07,0.0,3
air,100H,bulk,256.0,5.01216e-07,0.0,3
air,100H,bulk,257.0,5.06512e-07,0.0,3
air,100H,bulk,258.0,5.11921e-07,0.0,3
air,100H,bulk,259.0,5.17447e-07,0.0,3
air,100H,bulk,260.0,5.23093e-07,0.0,3
air,100H,bulk,261.0,5.15692e-07,0.0,3
air,100H,bulk,262.0,5.08498e-07,0.0,3
air,100H,bulk,263.0,5.01502e-07,0.0,3
air,100H,bulk,264.0,4.94696e-07,0.0,3
air,100H,bulk,265.0,4.88071e-07,0.0,3
air,100H,bulk,266.0,4.65259e-07,0.0,3
air,100H,bulk,267.0,4.4448300000000005e-07,6.483745362808791e-23,3
air,100H,bulk,268.0,4.25484e-07,0.0,3
air,100H,bulk,269.0,4.08042e-07,0.0,3
air,100H,bulk,270.0,3.91974e-07,0.0,3
air,100H,bulk,271.0,3.72215e-07,0.0,3
air,100H,bulk,272.0,3.5435299999999997e-07,6.483745362808791e-23,3
air,100H,bulk,273.0,3.38126e-07,0.0,3
air,100H,bulk,274.0,3.2332100000000004e-07,6.483745362808791e-23,3
air,100H,bulk,275.0,3.09757e-07,0.0,3
air,100H,bulk,276.0,2.92562e-07,0.0,3
air,100H,bulk,277.0,2.77175e-07,0.0,3
air,100H,bulk,278.0,2.63326e-07,0.0,3
air,100H,bulk,279.0,2.50795e-07,0.0,3
air,100H,bulk,280.0,2.39402e-07,0.0,3
air,100H,bulk,281.0,2.3238566666666666e-07,5.773502691902804e-13,3
air,100H,bulk,282.0,2.2576999999999996e-07,3.2418726814043956e-23,3
air,100H,bulk,283.0,2.1952066666666665e-07,1.5275252316536788e-12,3
air,100H,bulk,284.0,2.1360399999999998e-07,1.999999999989033e-12,3
air,100H,bulk,285.0,2.07999e-07,4.000000000004536e-12,3
air,100H,bulk,286.0,2.07825e-07,8.000000000009071e-12,3
air,100H,bulk,287.0,2.07644e-07,1.3000000000001506e-11,3
air,100H,bulk,288.0,2.0740899999999997e-07,3.6999999999989015e-11,3
air,100H,bulk,289.0,2.0721766666666665e-07,4.3500957843856944e-11,3
air,100H,bulk,290.0,2.0722766666666667e-07,1.550010752650912e-10,3
air,100H,bulk,291.0,2.0482333333333335e-07,1.3050031928441383e-10,3
air,100H,bulk,292.0,2.01752e-07,6.290023847331568e-10,3
air,100H,bulk,293.0,1.9975899999999998e-07,3.4350109170132766e-10,3
air,100H,bulk,294.0,2.0032933333333334e-07,2.4980080731121215e-09,3
air,100H,bulk,295.0,1.96367e-07,6.780022123857721e-10,3
air,100H,bulk,296.0,1.8136066666666664e-07,9.609531327454706e-09,3
air,100H,bulk,297.0,1.86149e-07,0.0,3
air,100H,bulk,298.0,2.16982e-07,3.58821174263727e-08,3
air,100H,bulk,299.0,1.677746666666667e-07,9.882032651905844e-09,3
air,100H,bulk,300.0,1.5297956666666668e-07,9.955712851656246e-08,3
air,100H,bulk,301.0,2.4085633333333334e-07,7.380874219449438e-08,3
air,100H,bulk,302.0,6.266396666666667e-07,4.7124454784149315e-07,3
air,100H,bulk,303.0,3.343573333333333e-07,1.8621034133563402e-07,3
air,100H,bulk,304.0,1.2968253333333334e-06,1.1287505470409898e-06,3
air,100H,bulk,305.0,2.183157e-06,2.060492008219639e-06,3
air,100H,bulk,306.0,1.1332619166666666e-05,1.090431798659834e-05,3
air,100H,bulk,307.0,1.9316408000000002e-05,1.7335338500986707e-05,3
air,100H,bulk,308.0,2.1479548666666664e-05,1.853538791775088e-05,3
air,100H,bulk,309.0,1.6760027e-05,1.5970665104299416e-05,3
air,100H,bulk,310.0,1.20577e-05,1.59124762101189e-05,3
air,100H,bulk,311.0,1.8611516666666666e-05,1.5947865803951115e-05,3
air,100H,bulk,312.0,3.595555333333333e-05,2.490339347576015e-05,3
air,100H,bulk,313.0,4.90007e-05,3.936597565626946e-05,3
air,100H,bulk,314.0,5.0343299999999996e-05,4.195738419301185e-05,3
air,100H,bulk,315.0,3.81167e-05,2.3469954645034998e-05,3
air,100H,bulk,316.0,1.996661333333333e-05,1.439673014217233e-05,3
air,100H,bulk,317.0,9.998096666666665e-06,6.562657596738789e-06,3
air,100H,bulk,318.0,1.3236369999999999e-06,7.586644785206434e-07,3
air,100H,bulk,319.0,9.660473333333333e-07,8.5257492011807e-07,3
air,100H,bulk,320.0,9.626933333333333e-08,3.2140338242360376e-08,3
air,100H,bulk,321.0,4.872093333333333e-07,3.1897950775297986e-07,3
air,100H,bulk,322.0,9.13083e-08,3.1091921264051857e-08,3
air,100H,bulk,323.0,1.2121533333333333e-07,2.9938051862693626e-08,3
