dataset,sample_id,param_set,trial,channel,source_file,﻿name,date,time,irradiance total,irradiance uva,irradiance uvb,irradiance uvc,irradiance @253.7nm,irradiance @365nm,irradiance wl range,spectral centroid
air,air__100H.1__bulk,100H,1.0,bulk,data/air/100H.1.csv,100H.1,1/1/1980,00:11am,1.29E-03,9.39E-04,3.79E-05,3.16E-04,5.52E-06,4.51E-06,1.29E-03,318.2
air,air__100H.2__bulk,100H,2.0,bulk,data/air/100H.2.csv,100H.2,1/1/1980,00:24am,2.47E-03,1.74E-03,3.78E-04,3.16E-04,5.52E-06,7.30E-06,2.47E-03,333.4
air,air__100H.3__bulk,100H,3.0,bulk,data/air/100H.3.csv,100H.3,1/1/1980,00:28am,2.45E-03,1.72E-03,4.30E-04,3.16E-04,5.52E-06,1.09E-05,2.45E-03,332.1
air,air__5H..01A.1__bulk,5H..01A,1.0,bulk,data/air/5H..01A.1.csv,5H..10A.1,1/1/1980,00:08am,3.81E-03,2.59E-03,6.06E-04,5.38E-04,5.58E-06,2.80E-05,3.81E-03,334.6
air,air__5H..01A.2__bulk,5H..01A,2.0,bulk,data/air/5H..01A.2.csv,5H..01A.2,1/1/1980,00:15am,3.76E-03,2.55E-03,5.69E-04,4.97E-04,1.85E-04,2.56E-05,3.76E-03,337.4
air,air__5H..01A.3__bulk,5H..01A,3.0,bulk,data/air/5H..01A.3.csv,5H..01A.3,1/1/1980,00:22am,4.39E-03,2.70E-03,7.17E-04,8.58E-04,2.56E-04,1.01E-04,4.39E-03,327.2
air,air__5H..5A.1__bulk,5H..5A,1.0,bulk,data/air/5H..5A.1.csv,5H..5A.1,1/1/1980,00:58am,1.11E-02,3.01E-03,8.36E-04,6.87E-03,1.04E-04,4.85E-05,1.11E-02,265
air,air__5H..5A.2__bulk,5H..5A,2.0,bulk,data/air/5H..5A.2.csv,5H..5A.2,1/1/1980,01:03am,6.63E-03,3.06E-03,6.84E-04,2.62E-03,1.18E-04,1.24E-04,6.63E-03,302.6
air,air__5H..5A.3__bulk,5H..5A,3.0,bulk,data/air/5H..5A.3.csv,5H..5A.3,1/1/1980,01:08am,7.01E-03,3.19E-03,8.90E-04,2.57E-03,2.32E-04,8.18E-05,7.01E-03,310.9
air,air__5H..5A.4__bulk,5H..5A,4.0,bulk,data/air/5H..5A.4.csv,5H..5A.4,1/1/1980,01:11am,7.11E-03,3.14E-03,7.77E-04,2.85E-03,7.10E-06,9.40E-05,7.11E-03,302.6
air,air__5H..9A.1__bulk,5H..9A,1.0,bulk,data/air/5H..9A.1.csv,5H..9A.1,1/1/1980,00:28am,1.12E-02,5.74E-03,1.25E-03,4.01E-03,1.70E-04,1.15E-04,1.12E-02,299.5
air,air__5H..9A.2__bulk,5H..9A,2.0,bulk,data/air/5H..9A.2.csv,5H..9A.2,1/1/1980,00:37am,6.01E-03,4.15E-03,1.09E-03,5.23E-04,5.51E-06,7.59E-05,6.01E-03,340
air,air__5H..9A.3__bulk,5H..9A,3.0,bulk,data/air/5H..9A.3.csv,5H..9A.3,1/1/1980,00:43am,8.97E-03,4.30E-03,1.15E-03,3.32E-03,1.85E-04,7.42E-05,8.97E-03,297.6
air,air__5H..9A.4__bulk,5H..9A,4.0,bulk,data/air/5H..9A.4.csv,5H..9A.4,1/1/1980,00:48am,7.74E-03,3.96E-03,9.98E-04,2.50E-03,6.34E-05,1.11E-04,7.74E-03,308.3
diameter,diameter__0.5mm__base,0.5mm,,Base,data/diameter/0.5mm.csv,,,,,,,,,,,
diameter,diameter__0.5mm__middle,0.5mm,,Middle,data/diameter/0.5mm.csv,,,,,,,,,,,
diameter,diameter__0.5mm__tip,0.5mm,,Tip,data/diameter/0.5mm.csv,,,,,,,,,,,
diameter,diameter__1mm__0_5_cm_below,1mm,,0.5 cm below,data/diameter/1mm.csv,,,,,,,,,,,
diameter,diameter__1mm__base,1mm,,Base,data/diameter/1mm.csv,,,,,,,,,,,
diameter,diameter__1mm__middle,1mm,,Middle,data/diameter/1mm.csv,,,,,,,,,,,
diameter,diameter__1mm__tip,1mm,,Tip,data/diameter/1mm.csv,,,,,,,,,,,
