obs_wl_nm,ritz_wl_nm,wavelength_nm,aki_s-1,acc,transition_type,spectra_query,element,ion_stage,species,transition,rel_intensity,source
,365.51234,365.51234,67.464,AAA,,H I,H,I,H I,,67.464,live_nist
,365.55993,365.55993,76.576,AAA,,H I,H,I,H I,,76.576,live_nist
,365.61134,365.61134,87.206,AAA,,H I,H,I,H I,,87.206,live_nist
365.665,365.66698,365.665,99.657,AAA,,H I,H,I,H I,,99.657,live_nist
365.725,365.72735,365.725,114.3,AAA,,H I,H,I,H I,,114.3,live_nist
365.804,365.79299,365.804,131.61,AAA,,H I,H,I,H I,,131.61,live_nist
365.865,365.86453,365.865,152.16,AAA,,H I,H,I,H I,,152.16,live_nist
365.941,365.94271,365.941,176.69,AAA,,H I,H,I,H I,,176.69,live_nist
366.032,366.02837,366.032,206.12,AAA,,H I,H,I,H I,,206.12,live_nist
366.127,366.12249,366.127,241.62,AAA,,H I,H,I,H I,,241.62,live_nist
366.222,366.22625,366.222,284.74,AAA,,H I,H,I,H I,,284.74,live_nist
366.341,366.34098,366.341,337.42,AAA,,H I,H,I,H I,,337.42,live_nist
366.465,366.46831,366.465,402.24,AAA,,H I,H,I,H I,,402.24,live_nist
366.608,366.61016,366.608,482.61,AAA,,H I,H,I,H I,,482.61,live_nist
366.773,366.76881,366.773,583.04,AAA,,H I,H,I,H I,,583.04,live_nist
366.945,366.94705,366.945,709.63,AAA,,H I,H,I,H I,,709.63,live_nist
367.132,367.14823,367.132,870.69,AAA,,H I,H,I,H I,,870.69,live_nist
367.381,367.37649,367.381,1077.7,AAA,,H I,H,I,H I,,1077.7,live_nist
367.6376,367.63692,367.6376,1346.7,AAA,,H I,H,I,H I,,1346.7,live_nist
367.937,367.93589,367.937,1700.5,AAA,,H I,H,I,H I,,1700.5,live_nist
368.2823,368.28143,368.2823,2171.9,AAA,,H I,H,I,H I,,2171.9,live_nist
368.6831,368.68376,368.6831,2809.3,AAA,,H I,H,I,H I,,2809.3,live_nist
369.1551,369.15611,369.1551,3685.1,AAA,,H I,H,I,H I,,3685.1,live_nist
369.7157,369.71581,369.7157,4910.1,AAA,,H I,H,I,H I,,4910.1,live_nist
370.3859,370.38593,370.3859,6658.3,AAA,,H I,H,I,H I,,6658.3,live_nist
371.1978,371.19774,371.1978,9210.2,AAA,,H I,H,I,H I,,9210.2,live_nist
372.1946,372.19449,372.1946,13032.0,AAA,,H I,H,I,H I,,13032.0,live_nist
373.4369,373.43746,373.4369,18927.0,AAA,,H I,H,I,H I,,18927.0,live_nist
,375.0124905,375.0124905,487480.0,AAA,,H I,H,I,H I,,487480.0,live_nist
,375.0125118,375.0125118,29828.0,AAA,,H I,H,I,H I,,29828.0,live_nist
,375.01275,375.01275,,,,H I,H,I,H I,,,live_nist
375.0129789,375.0129789,375.0129789,,,E2,H I,H,I,H I,E2,,live_nist
,375.0129867,375.0129867,355440.0,AAA,,H I,H,I,H I,,355440.0,live_nist
375.0129869,375.0129869,375.0129869,,,E2,H I,H,I,H I,E2,,live_nist
,375.0130082,375.0130082,,,M1,H I,H,I,H I,M1,,live_nist
,375.0130105,375.0130105,355440.0,AAA,,H I,H,I,H I,,355440.0,live_nist
375.0151,375.01584,375.0151,28337.0,AAA,,H I,H,I,H I,,28337.0,live_nist
,375.01515,375.01515,,,,H I,H,I,H I,,,live_nist
,375.0176298,375.0176298,584950.0,AAA,,H I,H,I,H I,,584950.0,live_nist
,375.01763,375.01763,,,,H I,H,I,H I,,,live_nist
,375.0176378,375.0176378,97489.0,AAA,,H I,H,I,H I,,97489.0,live_nist
,375.0176591,375.0176591,59661.0,AAA,,H I,H,I,H I,,59661.0,live_nist
,377.060301,377.060301,636590.0,AAA,,H I,H,I,H I,,636590.0,live_nist
,377.060329,377.060329,38791.0,AAA,,H I,H,I,H I,,38791.0,live_nist
,377.06056,377.06056,,,,H I,H,I,H I,,,live_nist
,377.0608027,377.0608027,461640.0,AAA,,H I,H,I,H I,,461640.0,live_nist
,377.0608308,377.0608308,,,M1,H I,H,I,H I,M1,,live_nist
,377.060834,377.060834,461640.0,AAA,,H I,H,I,H I,,461640.0,live_nist
,377.063,377.063,,,,H I,H,I,H I,,,live_nist
377.0633,377.06368,377.0633,43972.0,AAA,,H I,H,I,H I,,43972.0,live_nist
,377.0654943,377.0654943,763870.0,AAA,,H I,H,I,H I,,763870.0,live_nist
,377.0655,377.0655,,,,H I,H,I,H I,,,live_nist
,377.0655047,377.0655047,127310.0,AAA,,H I,H,I,H I,,127310.0,live_nist
