dataset,param_set,channel,no_gamma_area__mean,no_gamma_area__std,oh_309_area__mean,oh_309_area__std,n2_315_area__mean,n2_315_area__std,n2_337_area__mean,n2_337_area__std,n2_357_area__mean,n2_357_area__std,n2_380_area__mean,n2_380_area__std,n2plus_391_area__mean,n2plus_391_area__std,n2plus_427_area__mean,n2plus_427_area__std,hgamma_434_area__mean,hgamma_434_area__std,hbeta_486_area__mean,hbeta_486_area__std,uvc_continuum_area__mean,uvc_continuum_area__std,n2_sps_total_area__mean,n2_sps_total_area__std,n2plus_total_area__mean,n2plus_total_area__std,balmer_total_area__mean,balmer_total_area__std,oh_to_n2_337_ratio__mean,oh_to_n2_337_ratio__std,n2_337_to_n2plus_391_ratio__mean,n2_337_to_n2plus_391_ratio__std,n2_sps_to_n2plus_ratio__mean,n2_sps_to_n2plus_ratio__std,no_gamma_to_oh_ratio__mean,no_gamma_to_oh_ratio__std,uvc_to_n2_337_ratio__mean,uvc_to_n2_337_ratio__std,balmer_to_n2plus_ratio__mean,balmer_to_n2plus_ratio__std
air,100H,bulk,4.6833053e-05,0.0,0.00011186928658333331,9.642564366588426e-05,0.00014358687849999998,7.932080202102573e-05,0.0004908019183333333,0.00010762224067699284,0.00025086506833333337,0.00010637316610559527,5.552938486666666e-05,3.622004065295392e-05,0.00033343641499999997,0.00010771449280929274,2.5512374866666665e-05,2.077214245549075e-05,3.84623385e-06,5.263280288336869e-06,2.806148e-07,1.3702189606022589e-12,0.00030012228199999995,0.0,0.0009407832500333335,0.0003207447106270131,0.0003589487898666667,0.00012347581056107492,4.12684865e-06,5.263278961274137e-06,0.2097185977146437,0.18195197492905293,1.5221881167595648,0.25511845934954264,2.6235890164509765,0.024019115381282173,1.8605681314708107,2.6980038926333534,0.633652111202868,0.15227530479679646,0.01023296241914144,0.011682202325479079
air,5H..01A,bulk,0.0002032913602666667,0.0001377778779748604,0.00023468419333333334,5.0429359524791036e-05,0.00030722431666666667,3.930800453534666e-05,0.0006718751833333334,8.350462741718753e-06,0.00045169809833333334,1.1078457543517007e-05,0.000175647775,3.108238962018083e-05,0.0005052614833333333,1.2569710136309107e-05,8.434879285e-05,1.7747087709920877e-05,5.2756881e-06,2.0411188736881317e-06,2.7757576666666667e-07,7.867851715896354e-09,0.0006117905352666667,0.00019550594411212922,0.0016064453733333334,2.543563061862097e-05,0.0005896102761833334,2.0450057837232225e-05,5.553263866666666e-06,2.046666899744608e-06,0.3489280275952466,0.07188751010383271,1.3305591752394106,0.048750282235720796,2.7277573768650374,0.13742849031482107,0.9207704149011872,0.7374007259848041,0.9108182825623276,0.2925740257523652,0.009486082363609935,0.003788493267856365
air,5H..5A,bulk,0.0010105989514000002,0.0005368318092586594,0.0002837851125,4.9488178076441876e-05,0.00036632308,0.00011207878440513741,0.0007515578875000001,1.1612139303790013e-05,0.0005169343125,4.215601933671263e-05,0.0001893442625,1.8710790641040308e-05,0.0005520090875,1.35188974869363e-05,0.00016569485375,3.903328446283875e-05,2.79025901875e-05,1.7948629905530864e-05,3.80916398e-06,5.9771260900549745e-06,0.0035307119743000002,0.0017474293099310515,0.0018241595425000001,0.00012613079382381266,0.00071770394125,4.06209295965615e-05,3.17117541675e-05,1.8588059956308936e-05,0.3776006474254502,0.06547714147697609,1.3621390820481274,0.041143705604306045,2.5436902297235298,0.15491111284253628,3.599405865580235,1.7370572720918203,4.687282648735738,2.2758204492621483,0.043424516703988794,0.023584927099783055
air,5H..9A,bulk,0.00038245589325,0.0003166087774762919,0.00038565015375,6.029948319651442e-05,0.0005841273775,0.0002161457848317628,0.0012201743625,0.0002733214644039516,0.000754625,0.0001516810218092285,0.0003418747375,9.574637191896074e-05,0.00047833978749999993,0.00010622016228402192,0.00014386191500000001,2.9697472005945495e-05,2.5791106975e-05,1.8424443359533838e-05,4.719869075e-06,5.383233343820905e-06,0.002508314253,0.0014591068033680604,0.0029008014774999998,0.000684407215394123,0.0006222017025,0.00012001437057821467,3.0510976050000003e-05,2.2258681095823552e-05,0.3337142549111083,0.10631312548368338,2.7837031212221155,1.4574192593061759,4.9877695523074905,2.3881424361244448,1.0361962273254282,0.8677793509046089,2.0438022778651335,1.0834236880201438,0.056467886744656824,0.051627356532161724
diameter,0.5mm,Base,4.683e-05,,0.00024335,,0.00019711000000000002,,0.00043860000000000004,,0.000130999,,3.600950000000001e-05,,0.00042005000000000005,,5.84185e-05,,9.9645e-07,,2.806e-07,,0.0003002045,,0.0008027185000000001,,0.0004784685000000001,,1.27705e-06,,0.5548335613315093,,1.044161409356029,,1.6776830658653599,,0.1924388740497226,,0.6844607843137255,,0.0026690367286456677,
diameter,0.5mm,Middle,4.683e-05,,0.00022085000000000003,,0.0004516,,0.000793,,0.00042117,,0.00018236,,0.0009161999999999999,,0.000205125,,1.20383e-05,,2.736e-07,,0.0003002045,,0.00184813,,0.0011213249999999998,,1.23119e-05,,0.2784993694829761,,0.8655315433311505,,1.6481662319131387,,0.21204437400950868,,0.37856809583858764,,0.010979778387175888,
diameter,0.5mm,Tip,4.683e-05,,5.7116e-06,,6.4886e-05,,0.00014620000000000003,,4.7403e-05,,6.567e-07,,0.0001945,,1.42185e-05,,7.6609e-07,,2.806e-07,,0.0003002045,,0.00025914570000000004,,0.0002087185,,1.04669e-06,,0.03906703146374828,,0.7516709511568125,,1.2416038827415876,,8.19910357868198,,2.053382352941176,,0.005014840562767555,
diameter,1mm,0.5 cm below,4.683e-05,,1.3525000000000002e-06,,7.8421e-06,,7.314999999999999e-05,,2.98765e-05,,2.3931500000000003e-05,,4.8979999999999995e-05,,3.8935000000000003e-07,,3.8969999999999995e-07,,2.806e-07,,0.0003002045,,0.0001348001,,4.936935e-05,,6.703e-07,,0.0184894053315106,,1.4934667211106574,,2.730441053001508,,34.624768946395555,,4.103957621326043,,0.013577249852388172,
diameter,1mm,Base,4.683e-05,,4.1359e-05,,0.00015552399999999998,,0.00064462,,0.00021170000000000002,,1.9586e-05,,0.00019219,,3.8935000000000003e-07,,3.8969999999999995e-07,,2.806e-07,,0.0003002045,,0.00103143,,0.00019257935,,6.703e-07,,0.06416028047531878,,3.354076694937302,,5.355870190651283,,1.1322807611402597,,0.4657077037634575,,0.00348064317383977,
diameter,1mm,Middle,4.683e-05,,0.00014958,,0.0008664499999999998,,0.0017571,,0.0010216,,0.00036699000000000004,,0.0011755,,0.00022666349999999998,,1.0911549999999999e-05,,2.806e-07,,0.0003002045,,0.00401214,,0.0014021634999999998,,1.119215e-05,,0.08512890558306299,,1.4947681837515951,,2.8613924125110946,,0.3130766145206578,,0.17085225655910308,,0.007982057727219402,
